,occ_code,occ_title,o_group,tot_emp
1537,11-0000,Management Occupations,major,205900
1538,13-0000,Business and Financial Operations Occupations,major,232620
1539,15-0000,Computer and Mathematical Occupations,major,143990
1540,17-0000,Architecture and Engineering Occupations,major,68290
1541,19-0000,"Life, Physical, and Social Science Occupations",major,39530
1542,21-0000,Community and Social Service Occupations,major,55520
1543,23-0000,Legal Occupations,major,26290
1544,25-0000,Educational Instruction and Library Occupations,major,278130
1545,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,44330
1546,29-0000,Healthcare Practitioners and Technical Occupations,major,276020
1547,31-0000,Healthcare Support Occupations,major,177750
1548,33-0000,Protective Service Occupations,major,99810
1549,35-0000,Food Preparation and Serving Related Occupations,major,429910
1550,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,133740
1551,39-0000,Personal Care and Service Occupations,major,95430
1552,41-0000,Sales and Related Occupations,major,479880
1553,43-0000,Office and Administrative Support Occupations,major,556600
1554,45-0000,"Farming, Fishing, and Forestry Occupations",major,7740
1555,47-0000,Construction and Extraction Occupations,major,180690
1556,49-0000,"Installation, Maintenance, and Repair Occupations",major,189790
1557,51-0000,Production Occupations,major,340230
1558,53-0000,Transportation and Material Moving Occupations,major,400610
24159,11-1011,Chief Executives,detailed,3490
24160,11-1021,General and Operations Managers,detailed,57480
24161,11-2011,Advertising and Promotions Managers,detailed,230
24162,11-2021,Marketing Managers,detailed,7130
24163,11-2022,Sales Managers,detailed,7640
24164,11-2030,Public Relations and Fundraising Managers,detailed,1450
24165,11-3010,Administrative Services and Facilities Managers,detailed,5180
24166,11-3021,Computer and Information Systems Managers,detailed,14010
24167,11-3031,Financial Managers,detailed,16680
24168,11-3051,Industrial Production Managers,detailed,5900
24169,11-3061,Purchasing Managers,detailed,2360
24170,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2720
24171,11-3111,Compensation and Benefits Managers,detailed,530
24172,11-3121,Human Resources Managers,detailed,3840
24173,11-3131,Training and Development Managers,detailed,1080
24174,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50
24175,11-9021,Construction Managers,detailed,13500
24176,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1690
24177,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8390
