,occ_code,occ_title,o_group,tot_emp
24178,11-9033,"Education Administrators, Postsecondary",detailed,4870
24179,11-9039,"Education Administrators, All Other",detailed,1310
24180,11-9041,Architectural and Engineering Managers,detailed,4620
24181,11-9051,Food Service Managers,detailed,5730
24182,11-9071,Gambling Managers,detailed,40
24183,11-9081,Lodging Managers,detailed,410
24184,11-9111,Medical and Health Services Managers,detailed,10000
24185,11-9121,Natural Sciences Managers,detailed,3390
24186,11-9131,Postmasters and Mail Superintendents,detailed,480
24187,11-9141,"Property, Real Estate, and Community Association Managers",detailed,6410
24188,11-9151,Social and Community Service Managers,detailed,2660
24189,11-9161,Emergency Management Directors,detailed,210
24190,11-9171,Funeral Home Managers,detailed,230
24191,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,12160
24192,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,380
24193,13-1020,Buyers and Purchasing Agents,detailed,12700
24194,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,8720
24195,13-1032,"Insurance Appraisers, Auto Damage",detailed,250
24196,13-1041,Compliance Officers,detailed,7550
24197,13-1051,Cost Estimators,detailed,6360
24198,13-1071,Human Resources Specialists,detailed,19070
24199,13-1075,Labor Relations Specialists,detailed,840
24200,13-1081,Logisticians,detailed,4800
24201,13-1111,Management Analysts,detailed,17600
24202,13-1121,"Meeting, Convention, and Event Planners",detailed,3220
24203,13-1131,Fundraisers,detailed,2090
24204,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2250
24205,13-1151,Training and Development Specialists,detailed,9480
24206,13-1161,Market Research Analysts and Marketing Specialists,detailed,18430
24207,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,34530
24208,13-2011,Accountants and Auditors,detailed,33750
24209,13-2020,Property Appraisers and Assessors,detailed,1800
24210,13-2031,Budget Analysts,detailed,1180
24211,13-2041,Credit Analysts,detailed,2530
24212,13-2052,Personal Financial Advisors,detailed,7690
24213,13-2053,Insurance Underwriters,detailed,2700
24214,13-2061,Financial Examiners,detailed,4310
24215,13-2071,Credit Counselors,detailed,570
24216,13-2072,Loan Officers,detailed,13680
24217,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,**
24218,13-2082,Tax Preparers,detailed,1880
24219,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,13070
24220,15-1211,Computer Systems Analysts,detailed,26050
24221,15-1212,Information Security Analysts,detailed,6020
24222,15-1221,Computer and Information Research Scientists,detailed,180
24223,15-1231,Computer Network Support Specialists,detailed,6110
24224,15-1232,Computer User Support Specialists,detailed,22440
24225,15-1241,Computer Network Architects,detailed,4520
24226,15-1244,Network and Computer Systems Administrators,detailed,11460
24227,15-1245,Database Administrators and Architects,detailed,3800
24228,15-1251,Computer Programmers,detailed,5360
24229,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,42020
24230,15-1257,Web Developers and Digital Interface Designers,detailed,3950
24231,15-1299,"Computer Occupations, All Other",detailed,5810
24232,15-2011,Actuaries,detailed,**
24233,15-2031,Operations Research Analysts,detailed,2810
24234,15-2041,Statisticians,detailed,1640
24235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1190
24236,17-1011,"Architects, Except Landscape and Naval",detailed,2450
24237,17-1012,Landscape Architects,detailed,610
24238,17-1021,Cartographers and Photogrammetrists,detailed,770
24239,17-1022,Surveyors,detailed,1150
24240,17-2011,Aerospace Engineers,detailed,530
24241,17-2031,Bioengineers and Biomedical Engineers,detailed,430
24242,17-2041,Chemical Engineers,detailed,920
24243,17-2051,Civil Engineers,detailed,10520
24244,17-2061,Computer Hardware Engineers,detailed,1500
24245,17-2071,Electrical Engineers,detailed,4830
24246,17-2072,"Electronics Engineers, Except Computer",detailed,2930
24247,17-2081,Environmental Engineers,detailed,1280
24248,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,570
24249,17-2112,Industrial Engineers,detailed,9340
24250,17-2121,Marine Engineers and Naval Architects,detailed,30
24251,17-2131,Materials Engineers,detailed,420
24252,17-2141,Mechanical Engineers,detailed,8970
24253,17-2199,"Engineers, All Other",detailed,1590
24254,17-3011,Architectural and Civil Drafters,detailed,2440
24255,17-3012,Electrical and Electronics Drafters,detailed,600
24256,17-3013,Mechanical Drafters,detailed,1490
24257,17-3019,"Drafters, All Other",detailed,160
24258,17-3022,Civil Engineering Technologists and Technicians,detailed,3010
24259,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,2030
24260,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,100
24261,17-3025,Environmental Engineering Technologists and Technicians,detailed,100
24262,17-3026,Industrial Engineering Technologists and Technicians,detailed,2800
24263,17-3027,Mechanical Engineering Technologists and Technicians,detailed,1250
24264,17-3031,Surveying and Mapping Technicians,detailed,3430
24265,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,1430
24266,19-1011,Animal Scientists,detailed,140
24267,19-1012,Food Scientists and Technologists,detailed,180
24268,19-1013,Soil and Plant Scientists,detailed,710
24269,19-1021,Biochemists and Biophysicists,detailed,570
24270,19-1022,Microbiologists,detailed,370
24271,19-1023,Zoologists and Wildlife Biologists,detailed,430
24272,19-1029,"Biological Scientists, All Other",detailed,1270
24273,19-1031,Conservation Scientists,detailed,330
24274,19-1032,Foresters,detailed,350
24275,19-1041,Epidemiologists,detailed,80
24276,19-1042,"Medical Scientists, Except Epidemiologists",detailed,5130
24277,19-1099,"Life Scientists, All Other",detailed,180
24278,19-2012,Physicists,detailed,310
24279,19-2021,Atmospheric and Space Scientists,detailed,140
24280,19-2031,Chemists,detailed,3990
24281,19-2032,Materials Scientists,detailed,150
24282,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3840
24283,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,390
24284,19-2043,Hydrologists,detailed,160
24285,19-2099,"Physical Scientists, All Other",detailed,530
24286,19-3011,Economists,detailed,120
24287,19-3022,Survey Researchers,detailed,150
24288,19-3031,"Clinical, Counseling, and School Psychologists",detailed,3040
24289,19-3039,"Psychologists, All Other",detailed,410
24290,19-3041,Sociologists,detailed,40
24291,19-3051,Urban and Regional Planners,detailed,1490
24292,19-3091,Anthropologists and Archeologists,detailed,100
24293,19-3093,Historians,detailed,70
24294,19-3099,"Social Scientists and Related Workers, All Other",detailed,1220
24295,19-4010,Agricultural and Food Science Technicians,detailed,480
24296,19-4021,Biological Technicians,detailed,2360
24297,19-4031,Chemical Technicians,detailed,1720
24298,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,1010
24299,19-4045,Geological and Hydrologic Technicians,detailed,120
24300,19-4061,Social Science Research Assistants,detailed,2220
24301,19-4071,Forest and Conservation Technicians,detailed,640
24302,19-4092,Forensic Science Technicians,detailed,440
24303,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,1100
24304,19-5011,Occupational Health and Safety Specialists,detailed,2580
24305,19-5012,Occupational Health and Safety Technicians,detailed,380
24306,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,6890
24307,21-1013,Marriage and Family Therapists,detailed,400
24308,21-1015,Rehabilitation Counselors,detailed,2690
24309,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,8950
24310,21-1019,"Counselors, All Other",detailed,170
24311,21-1021,"Child, Family, and School Social Workers",detailed,12380
24312,21-1022,Healthcare Social Workers,detailed,3160
24313,21-1023,Mental Health and Substance Abuse Social Workers,detailed,2390
24314,21-1029,"Social Workers, All Other",detailed,990
24315,21-1091,Health Education Specialists,detailed,1010
24316,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,3160
24317,21-1093,Social and Human Service Assistants,detailed,7600
24318,21-1094,Community Health Workers,detailed,860
24319,21-1099,"Community and Social Service Specialists, All Other",detailed,3290
24320,21-2011,Clergy,detailed,1120
24321,21-2021,"Directors, Religious Activities and Education",detailed,130
24322,21-2099,"Religious Workers, All Other",detailed,310
24323,23-1011,Lawyers,detailed,13620
24324,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,200
24325,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,160
24326,23-2011,Paralegals and Legal Assistants,detailed,10950
24327,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,580
24328,23-2099,"Legal Support Workers, All Other",detailed,750
24329,25-1011,"Business Teachers, Postsecondary",detailed,3510
24330,25-1021,"Computer Science Teachers, Postsecondary",detailed,1560
24331,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,1760
24332,25-1031,"Architecture Teachers, Postsecondary",detailed,210
24333,25-1032,"Engineering Teachers, Postsecondary",detailed,1400
24334,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,760
24335,25-1042,"Biological Science Teachers, Postsecondary",detailed,1880
24336,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,90
24337,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,350
24338,25-1052,"Chemistry Teachers, Postsecondary",detailed,940
24339,25-1053,"Environmental Science Teachers, Postsecondary",detailed,120
24340,25-1054,"Physics Teachers, Postsecondary",detailed,410
24341,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,230
24342,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,230
24343,25-1063,"Economics Teachers, Postsecondary",detailed,560
24344,25-1064,"Geography Teachers, Postsecondary",detailed,110
24345,25-1065,"Political Science Teachers, Postsecondary",detailed,390
24346,25-1066,"Psychology Teachers, Postsecondary",detailed,970
24347,25-1067,"Sociology Teachers, Postsecondary",detailed,460
24348,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,710
24349,25-1071,"Health Specialties Teachers, Postsecondary",detailed,11770
24350,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,2230
24351,25-1081,"Education Teachers, Postsecondary",detailed,2420
24352,25-1082,"Library Science Teachers, Postsecondary",detailed,110
24353,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,1560
24354,25-1112,"Law Teachers, Postsecondary",detailed,380
24355,25-1113,"Social Work Teachers, Postsecondary",detailed,550
24356,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,2770
24357,25-1122,"Communications Teachers, Postsecondary",detailed,930
24358,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,2540
24359,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,740
24360,25-1125,"History Teachers, Postsecondary",detailed,720
24361,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,690
24362,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,960
24363,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,7750
24364,25-1199,"Postsecondary Teachers, All Other",detailed,4450
24365,25-2011,"Preschool Teachers, Except Special Education",detailed,15350
24366,25-2012,"Kindergarten Teachers, Except Special Education",detailed,3890
24367,25-2021,"Elementary School Teachers, Except Special Education",detailed,42520
24368,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,18770
24369,25-2023,"Career/Technical Education Teachers, Middle School",detailed,1130
24370,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,24030
24371,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,4490
24372,25-2051,"Special Education Teachers, Preschool",detailed,580
24373,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,6570
24374,25-2057,"Special Education Teachers, Middle School",detailed,2630
24375,25-2058,"Special Education Teachers, Secondary School",detailed,3830
24376,25-2059,"Special Education Teachers, All Other",detailed,130
24377,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,3600
24378,25-3021,Self-Enrichment Teachers,detailed,8230
24379,25-3031,"Substitute Teachers, Short-Term",detailed,20830
24380,25-3097,"Tutors and Teachers and Instructors, All Other",detailed,7260
24381,25-4011,Archivists,detailed,110
24382,25-4012,Curators,detailed,540
24383,25-4013,Museum Technicians and Conservators,detailed,280
24384,25-4022,Librarians and Media Collections Specialists,detailed,4530
24385,25-4031,Library Technicians,detailed,2210
24386,25-9021,Farm and Home Management Educators,detailed,110
24387,25-9031,Instructional Coordinators,detailed,4900
24388,25-9044,"Teaching Assistants, Postsecondary",detailed,2200
24389,25-9045,"Teaching Assistants, Except Postsecondary",detailed,30750
24390,25-9099,"Educational Instruction and Library Workers, All Other",detailed,11400
24391,27-1011,Art Directors,detailed,480
24392,27-1012,Craft Artists,detailed,130
24393,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,190
24394,27-1014,Special Effects Artists and Animators,detailed,450
24395,27-1019,"Artists and Related Workers, All Other",detailed,40
24396,27-1021,Commercial and Industrial Designers,detailed,870
24397,27-1022,Fashion Designers,detailed,140
24398,27-1023,Floral Designers,detailed,1060
24399,27-1024,Graphic Designers,detailed,6470
24400,27-1025,Interior Designers,detailed,1380
24401,27-1026,Merchandise Displayers and Window Trimmers,detailed,3410
24402,27-1027,Set and Exhibit Designers,detailed,130
24403,27-1029,"Designers, All Other",detailed,130
24404,27-2011,Actors,detailed,150
24405,27-2012,Producers and Directors,detailed,2760
24406,27-2021,Athletes and Sports Competitors,detailed,350
24407,27-2022,Coaches and Scouts,detailed,6130
24408,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,320
24409,27-2031,Dancers,detailed,140
24410,27-2041,Music Directors and Composers,detailed,60
24411,27-2042,Musicians and Singers,detailed,490
24412,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,280
24413,27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,1030
24414,27-3023,"News Analysts, Reporters, and Journalists",detailed,930
24415,27-3031,Public Relations Specialists,detailed,5000
24416,27-3041,Editors,detailed,2130
24417,27-3042,Technical Writers,detailed,1640
24418,27-3043,Writers and Authors,detailed,1000
24419,27-3091,Interpreters and Translators,detailed,2280
24420,27-3092,Court Reporters and Simultaneous Captioners,detailed,140
24421,27-3099,"Media and Communication Workers, All Other",detailed,360
24422,27-4011,Audio and Video Technicians,detailed,1100
24423,27-4012,Broadcast Technicians,detailed,550
24424,27-4014,Sound Engineering Technicians,detailed,180
24425,27-4021,Photographers,detailed,1470
24426,27-4031,"Camera Operators, Television, Video, and Film",detailed,260
24427,27-4032,Film and Video Editors,detailed,370
24428,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",detailed,290
24429,29-1011,Chiropractors,detailed,880
24430,29-1021,"Dentists, General",detailed,3440
24431,29-1022,Oral and Maxillofacial Surgeons,detailed,**
24432,29-1023,Orthodontists,detailed,150
24433,29-1029,"Dentists, All Other Specialists",detailed,90
24434,29-1031,Dietitians and Nutritionists,detailed,2160
24435,29-1041,Optometrists,detailed,1020
24436,29-1051,Pharmacists,detailed,10020
24437,29-1071,Physician Assistants,detailed,5440
24438,29-1081,Podiatrists,detailed,200
24439,29-1122,Occupational Therapists,detailed,3530
24440,29-1123,Physical Therapists,detailed,6310
24441,29-1124,Radiation Therapists,detailed,590
24442,29-1125,Recreational Therapists,detailed,410
24443,29-1126,Respiratory Therapists,detailed,4240
24444,29-1127,Speech-Language Pathologists,detailed,4450
24445,29-1128,Exercise Physiologists,detailed,280
24446,29-1129,"Therapists, All Other",detailed,160
24447,29-1131,Veterinarians,detailed,2910
24448,29-1141,Registered Nurses,detailed,99960
24449,29-1151,Nurse Anesthetists,detailed,3190
24450,29-1161,Nurse Midwives,detailed,180
24451,29-1171,Nurse Practitioners,detailed,5540
24452,29-1181,Audiologists,detailed,450
24453,29-1211,Anesthesiologists,detailed,670
24454,29-1215,Family Medicine Physicians,detailed,1270
24455,29-1216,General Internal Medicine Physicians,detailed,280
24456,29-1218,Obstetricians and Gynecologists,detailed,400
24457,29-1221,"Pediatricians, General",detailed,800
24458,29-1223,Psychiatrists,detailed,430
24459,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,14080
24460,29-1248,"Surgeons, Except Ophthalmologists",detailed,600
24461,29-1292,Dental Hygienists,detailed,7090
24462,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,890
24463,29-2010,Clinical Laboratory Technologists and Technicians,detailed,12030
24464,29-2031,Cardiovascular Technologists and Technicians,detailed,1090
24465,29-2032,Diagnostic Medical Sonographers,detailed,2330
24466,29-2033,Nuclear Medicine Technologists,detailed,540
24467,29-2034,Radiologic Technologists and Technicians,detailed,7180
24468,29-2035,Magnetic Resonance Imaging Technologists,detailed,920
24469,29-2040,Emergency Medical Technicians and Paramedics,detailed,10680
24470,29-2051,Dietetic Technicians,detailed,270
24471,29-2052,Pharmacy Technicians,detailed,13560
24472,29-2053,Psychiatric Technicians,detailed,**
24473,29-2055,Surgical Technologists,detailed,3450
24474,29-2056,Veterinary Technologists and Technicians,detailed,3600
24475,29-2057,Ophthalmic Medical Technicians,detailed,2590
24476,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,16910
24477,29-2081,"Opticians, Dispensing",detailed,1730
24478,29-2091,Orthotists and Prosthetists,detailed,350
24479,29-2092,Hearing Aid Specialists,detailed,230
24480,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",detailed,11860
24481,29-9091,Athletic Trainers,detailed,950
24482,29-9092,Genetic Counselors,detailed,130
24483,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",detailed,750
24484,31-1120,Home Health and Personal Care Aides,detailed,62310
24485,31-1131,Nursing Assistants,detailed,56780
24486,31-1132,Orderlies,detailed,960
24487,31-1133,Psychiatric Aides,detailed,**
24488,31-2011,Occupational Therapy Assistants,detailed,1390
24489,31-2012,Occupational Therapy Aides,detailed,90
24490,31-2021,Physical Therapist Assistants,detailed,2820
24491,31-2022,Physical Therapist Aides,detailed,790
24492,31-9011,Massage Therapists,detailed,2980
24493,31-9091,Dental Assistants,detailed,9510
24494,31-9092,Medical Assistants,detailed,19640
24495,31-9093,Medical Equipment Preparers,detailed,2040
24496,31-9094,Medical Transcriptionists,detailed,1340
24497,31-9095,Pharmacy Aides,detailed,270
24498,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,4290
24499,31-9097,Phlebotomists,detailed,5960
24500,31-9099,"Healthcare Support Workers, All Other",detailed,3650
24501,33-1011,First-Line Supervisors of Correctional Officers,detailed,1290
24502,33-1012,First-Line Supervisors of Police and Detectives,detailed,4720
24503,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,2580
24504,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",detailed,2010
24505,33-2011,Firefighters,detailed,15200
24506,33-2021,Fire Inspectors and Investigators,detailed,450
24507,33-3011,Bailiffs,detailed,180
24508,33-3012,Correctional Officers and Jailers,detailed,15450
24509,33-3021,Detectives and Criminal Investigators,detailed,2820
24510,33-3031,Fish and Game Wardens,detailed,210
24511,33-3041,Parking Enforcement Workers,detailed,60
24512,33-3051,Police and Sheriff's Patrol Officers,detailed,21750
24513,33-9011,Animal Control Workers,detailed,410
24514,33-9021,Private Detectives and Investigators,detailed,680
24515,33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,**
24516,33-9032,Security Guards,detailed,23400
24517,33-9091,Crossing Guards and Flaggers,detailed,1030
24518,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,4120
24519,33-9093,Transportation Security Screeners,detailed,1150
24520,33-9098,"School Bus Monitors and Protective Service Workers, All Other",detailed,2020
24521,35-1011,Chefs and Head Cooks,detailed,2600
24522,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,37850
24523,35-2011,"Cooks, Fast Food",detailed,22720
24524,35-2012,"Cooks, Institution and Cafeteria",detailed,10960
24525,35-2014,"Cooks, Restaurant",detailed,50070
24526,35-2015,"Cooks, Short Order",detailed,2930
24527,35-2019,"Cooks, All Other",detailed,210
24528,35-2021,Food Preparation Workers,detailed,20270
24529,35-3011,Bartenders,detailed,13670
24530,35-3023,Fast Food and Counter Workers,detailed,136970
24531,35-3031,Waiters and Waitresses,detailed,82340
24532,35-3041,"Food Servers, Nonrestaurant",detailed,8320
24533,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,8680
24534,35-9021,Dishwashers,detailed,13340
24535,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,17500
24536,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,1480
24537,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,4910
24538,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,3360
24539,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,54770
24540,37-2012,Maids and Housekeeping Cleaners,detailed,32530
24541,37-2019,"Building Cleaning Workers, All Other",detailed,**
24542,37-2021,Pest Control Workers,detailed,3640
24543,37-3011,Landscaping and Groundskeeping Workers,detailed,31430
24544,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,610
24545,37-3013,Tree Trimmers and Pruners,detailed,1710
24546,37-3019,"Grounds Maintenance Workers, All Other",detailed,70
24547,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",detailed,6590
24548,39-2011,Animal Trainers,detailed,630
24549,39-2021,Animal Caretakers,detailed,7800
24550,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,5530
24551,39-3091,Amusement and Recreation Attendants,detailed,17470
24552,39-3092,Costume Attendants,detailed,50
24553,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,120
24554,39-4021,Funeral Attendants,detailed,1540
24555,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,1040
24556,39-5011,Barbers,detailed,910
24557,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,8850
24558,39-5092,Manicurists and Pedicurists,detailed,810
24559,39-5093,Shampooers,detailed,150
24560,39-5094,Skincare Specialists,detailed,1200
24561,39-6011,Baggage Porters and Bellhops,detailed,800
24562,39-6012,Concierges,detailed,520
24563,39-7010,Tour and Travel Guides,detailed,1140
24564,39-9011,Childcare Workers,detailed,19780
24565,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,8910
24566,39-9032,Recreation Workers,detailed,7480
24567,39-9041,Residential Advisors,detailed,1940
24568,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",detailed,630
24569,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,39720
24570,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,9290
24571,41-2011,Cashiers,detailed,126920
24572,41-2021,Counter and Rental Clerks,detailed,11090
24573,41-2022,Parts Salespersons,detailed,8570
24574,41-2031,Retail Salespersons,detailed,143830
24575,41-3011,Advertising Sales Agents,detailed,3850
24576,41-3021,Insurance Sales Agents,detailed,12920
24577,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,12730
24578,41-3041,Travel Agents,detailed,1260
24579,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,35250
24580,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,12040
24581,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,44320
24582,41-9011,Demonstrators and Product Promoters,detailed,1780
24583,41-9021,Real Estate Brokers,detailed,2370
24584,41-9022,Real Estate Sales Agents,detailed,6860
24585,41-9031,Sales Engineers,detailed,1920
24586,41-9041,Telemarketers,detailed,2030
24587,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,110
24588,41-9099,"Sales and Related Workers, All Other",detailed,2910
24589,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,41690
24590,43-2011,"Switchboard Operators, Including Answering Service",detailed,1380
24591,43-2099,"Communications Equipment Operators, All Other",detailed,30
24592,43-3011,Bill and Account Collectors,detailed,7000
24593,43-3021,Billing and Posting Clerks,detailed,12740
24594,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,47670
24595,43-3051,Payroll and Timekeeping Clerks,detailed,3910
24596,43-3061,Procurement Clerks,detailed,1320
24597,43-3071,Tellers,detailed,10850
24598,43-3099,"Financial Clerks, All Other",detailed,710
24599,43-4011,Brokerage Clerks,detailed,1760
24600,43-4031,"Court, Municipal, and License Clerks",detailed,4790
24601,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,540
24602,43-4051,Customer Service Representatives,detailed,88950
24603,43-4061,"Eligibility Interviewers, Government Programs",detailed,6810
24604,43-4071,File Clerks,detailed,1420
24605,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,9230
24606,43-4111,"Interviewers, Except Eligibility and Loan",detailed,8440
24607,43-4121,"Library Assistants, Clerical",detailed,1760
24608,43-4131,Loan Interviewers and Clerks,detailed,6500
24609,43-4141,New Accounts Clerks,detailed,870
24610,43-4151,Order Clerks,detailed,2900
24611,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,3490
24612,43-4171,Receptionists and Information Clerks,detailed,39080
24613,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,2650
24614,43-4199,"Information and Record Clerks, All Other",detailed,4380
24615,43-5011,Cargo and Freight Agents,detailed,2790
24616,43-5021,Couriers and Messengers,detailed,1490
24617,43-5031,Public Safety Telecommunicators,detailed,3630
