pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_logLDR,std_logLDR,min_logLDR,max_logLDR
1,57,2,9783.3111,22,0.836,7,9861.7337,26,5.0638,-3188.61282964248,5257.34772692463,13,83.4992172738777,0.210590460129769,0.16376021038942,-0.230622763012091,0.439679966515186
2,57,3,9787.6874,22,0.8259,8,9868.1857,26,5.0856,-2992.75486612549,5638.03158539879,17,104.43793653351,0.309959448592401,0.193155538703671,-0.132402372579291,0.649835734731736
3,57,9,9879.583,22,1.8732,4,9811.5041,26,5.0117,-861.557632545281,4002.70734730013,12,113.859038487503,-0.008997535929481,0.335249992589241,-1.54834064601586,0.329751523738422
4,56,14,9927.3506,22,1.8792,19,9980.4629,26,5.0331,-2021.58439179968,4886.99379114136,13,126.048978385428,0.190251753486033,0.245959514954281,-0.365933033838433,0.49075761915413
5,56,15,9944.2065,26,5.0117,30,10068.329,14,6.0986,-3033.16538565257,5235.9781274147,17,120.271646993449,0.116575019505541,0.173096651240476,-0.437394032038395,0.443754527534508
6,56,21,9987.8684,26,2.1759,20,9986.475,12,5.932,-2613.88991461624,3966.68556576033,14,100.322971745355,-0.14730601823672,0.161865813232268,-0.930967205858741,0.011177754748065
7,56,25,10011.744,22,2.1535,18,9961.256,11,3.617,-3063.14351542187,4402.8100735759,11,87.3683827713134,0.059229032898043,0.149033094201737,-0.363537605840106,0.227550456494664
8,56,28,10059.904,22,1.4298,27,10041.472,26,5.0117,-1160.50906027883,4695.21662902315,14,77.3525887226174,0.338091763631396,0.352566256521152,-0.792810550874214,0.602358551671289
9,56,32,10081.393,26,2.4242,22,9993.209,12,5.9328,-2182.36717709737,4207.08599884786,14,87.3532536115591,-0.067572904984427,0.202605611201691,-0.579296527206377,0.089024897944966
10,55,36,10155.162,26,2.1759,41,10193.224,28,4.0893,-2704.87982106861,4535.01983800674,16,122.641234210367,-0.004878386081878,0.194756522939202,-0.467540630956306,0.293155236448658
11,55,38,10167.468,26,2.1979,46,10230.795,26,6.1189,-2587.79674292829,5830.38325534873,17,125.360361543762,0.418081162253246,0.210301769166043,-0.111681224747993,0.814407452613978
12,55,47,10265.217,26,2.2227,34,10142.844,26,5.0638,-2758.55319567,4603.88595265822,10,113.13617407644,0.070189781365413,0.203673851075303,-0.371441103411886,0.298093498231994
13,54,54,10332.327,26,3.6352,58,10347.965,26,5.3933,-3543.65075597591,4368.61262758891,15,74.2238455016801,-0.04551808423805,0.164828416809297,-0.306889946685965,0.157414026350405
14,54,55,10333.184,26,4.5931,69,10455.47,16,6.8601,-1790.39055415517,3846.75617738179,10,123.780615555669,-0.405224016273867,0.30756026783731,-0.905374798729811,-0.067952553064822
15,54,56,10340.885,26,2.1979,49,10288.944,14,4.9201,-3335.72674110038,4856.28618318928,15,72.873825279965,0.030911370925624,0.155191489330179,-0.229137199136486,0.265331905866814
16,54,57,10343.819,20,2.9325,61,10371.263,14,4.9296,-7021.33020668671,4545.91683754177,18,128.974776603667,-0.040760982260527,0.09570945903981,-0.246611596818247,0.129461687159678
17,54,62,10378.602,28,4.0882,70,10456.79,16,6.8601,-1365.9752388935,5206.87954716421,13,87.0079753880713,0.045074733677656,0.299741578204643,-0.670049584928903,0.445661737498025
18,54,64,10395.794,26,2.1759,72,10469.652,26,3.8835,-8187.24306615777,4826.25445940942,18,89.6884024491028,0.028922669976876,0.07463550344077,-0.148050973881233,0.127580090517473
19,54,65,10396.802,22,0.8484,59,10353.804,26,5.3933,-2957.45580930385,6147.94284823649,15,81.4440759610765,0.494554835043751,0.181637493255778,0.232230633038221,0.769294220223199
20,54,66,10423.027,26,2.6924,60,10364.062,26,5.4457,-4547.51450909644,6714.91257837397,15,126.342942961558,0.441285218558788,0.118842616240168,0.08303819912752,0.593299698189368
21,54,67,10423.743,26,3.0713,52,10330.228,28,4.1054,-7443.78050340488,5093.14863643178,11,141.841761749503,0.065253304180942,0.076957993855999,-0.061463326997085,0.15079162668849
22,54,68,10435.355,26,4.7331,71,10459.46,16,6.8601,-1435.81055519309,4141.16462007205,12,140.982790867456,-0.488959362880978,0.312492928846427,-1.44334055158043,-0.093751078248491
23,53,73,10486.25,24,3.0106,75,10501.506,26,6.1053,-1519.68260968553,5186.94215801944,17,112.811180787333,0.198146603027975,0.331999685050523,-0.968214516062802,0.84092591173427
24,53,74,10496.113,22,0.836,79,10535.709,26,6.2057,-2060.22998165408,5653.47202816467,14,56.6459933596901,0.41022958346195,0.271872609553755,-0.349773892654591,0.826746487487372
25,53,76,10510.01,24,3.0133,84,10585.141,14,4.9538,-1871.0422770928,3148.04745046378,11,84.1962216161294,-0.757904084399528,0.222694656096399,-1.25765482834969,-0.564145453612253
26,53,78,10530.514,28,4.1054,77,10529.524,15,6.9543,-1495.21672489771,5438.37488506575,13,133.978049208976,0.1637857542498,0.28838302000727,-0.526619040475435,0.849697007836244
27,53,81,10552.965,22,2.2492,85,10603.425,14,4.9296,-1193.8702964148,3352.78665686121,12,76.8863314552848,-0.62210348285972,0.269455285821913,-1.85155720908841,-0.46110752519633
28,53,83,10577.139,26,3.3014,87,10611.686,26,6.1692,-3515.73705824264,4845.81849233595,12,126.254337302752,0.052815347374013,0.157610078111111,-0.255878972140637,0.23293925586533
29,53,92,10672.14,24,3.0133,89,10627.648,14,5.8625,-1743.42288149267,4110.21913463821,12,101.204128948615,-0.219493351284435,0.311455207315142,-0.867736383454642,0.109337250077226
30,53,93,10677.047,22,0.836,88,10616.721,26,3.2671,-1628.84170778533,4463.34701060496,11,85.0104292961869,0.179484264049117,0.231679599664023,-0.562092367402895,0.326412606944796
31,52,96,10725.185,26,3.6398,95,10694.251,14,5.9639,-2254.06466542391,3707.30711307207,14,121.825085429708,-0.364509686818403,0.219587365920403,-0.851187934418018,-0.104119598073251
32,52,97,10726.391,22,0.8129,108,10786.849,14,4.9296,-1487.10685418385,4154.88787898897,10,69.7427799268885,-0.10317669063433,0.266749437759926,-0.894441233948063,0.131990360402663
33,52,102,10753.004,26,3.9597,94,10689.716,14,5.9537,-3162.60548159604,3845.77294647548,14,117.242793818557,-0.301434810269536,0.157430501003068,-0.589538140433334,-0.10390953164348
34,52,103,10774.866,22,0.8181,100,10746.449,11,3.1914,-1589.41223648506,4900.92500657076,12,128.535175625534,0.42357831307185,0.249810123492274,-0.443680911996992,0.72104609047146
35,52,104,10780.694,26,3.2367,113,10827.088,14,4.9538,-2265.00413921894,2898.90970691256,13,116.36434765039,-0.640305781170888,0.203633532749781,-1.17061551908505,-0.45431956975459
36,52,105,10783.05,26,3.111,119,10869.536,14,5.0823,-3155.3156565564,3469.02811406431,16,138.985732713124,-0.382347389421608,0.156670628302607,-0.71509015670793,-0.172392745602288
37,52,109,10801.36,24,3.0111,110,10811.122,12,5.9459,-1704.70815875594,3393.12405583525,12,99.9310287396946,-0.496471566602053,0.223536299269729,-1.27844937987755,-0.336273890239587
38,52,111,10816.91,24,3.0128,117,10849.465,26,5.5392,-1501.58122061041,4199.32516523729,15,87.7326560648446,-0.020227812559345,0.292276951971576,-0.780159704681162,0.243039996017172
39,52,112,10818.274,26,3.9597,106,10784.562,14,5.9639,-2557.16783112123,4591.59041055806,18,98.4093483021778,-0.075068096023052,0.205922571924258,-0.721996882743045,0.291616114359321
40,52,115,10838.97,20,4.8775,121,10882.809,14,5.984,-2639.20568639032,3926.23663115871,18,132.900918537202,-0.332839403311507,0.222604664163087,-0.757908872425402,0.127726532183119
41,52,118,10863.518,26,4.7331,116,10843.858,14,5.8625,-4195.51818164337,3832.93363384191,17,119.257134677575,-0.235734822375966,0.134379406953782,-0.602669653444418,0.005578809318657
42,52,120,10881.758,26,2.845,98,10727.406,14,5.984,-2441.40519797893,3932.91887024683,14,142.050825603247,-0.276201544247653,0.221922647684749,-0.71386668298115,0.046895135425248
43,52,122,10884.262,26,3.9286,123,10885.333,14,6.1807,-3163.11366242203,4119.09233005458,14,121.206168495546,-0.206432330358521,0.18175981508464,-0.494689648009605,0.120925832665868
44,48,135,11797.186,22,1.4298,134,11783.265,26,2.8316,-1043.91743248413,3675.23527902317,10,111.81202639795,-0.413008634213381,0.212041301573896,-2.04999522801971,-0.238314829982762
45,47,137,11884.083,26,2.2227,141,11991.568,14,4.9201,-4875.6211562646,4501.4833638112,15,95.4222144651201,-0.060700948909828,0.116037041384066,-0.328183605513895,0.144336959813638
46,46,149,12119.494,26,4.5931,148,12110.659,14,6.6161,-2048.60456676884,4448.10406704302,10,119.8918030223,-0.332153246507678,0.118125710432783,-0.9440634489394,-0.25168310139716
47,46,154,12190.098,26,3.6352,151,12175.733,14,6.6192,-2794.58795674043,5599.24781297239,11,98.5477042323844,0.216047841807931,0.169192892051541,-0.007754845786564,0.615239124545511
