pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,a,b,c,d,e,sigma,sigma_r,N,type,mean_T,std_T,mean_FeH,std_FeH
D1,57.0,9770.3011,22.0,0.8484,9861.7337,26.0,5.0638,2.8302,-0.5511,,-1.3411,0.2605,0.04626805532862799,0.032631755850526155,34,C,5.305147058823528,0.4403425225858068,-0.13647058823529412,0.30677528039977386
D2,57.0,9787.6874,22.0,0.8259,9887.0468,14.0,6.2227,4.0373,-0.6708,,-2.9948,0.4995,0.0879859229564644,0.060918321265046926,29,C,5.355068965517242,0.4109691599331649,-0.08965517241379309,0.2891066234361043
D3,56.0,10034.491,22.0,1.4601,10068.329,14.0,6.0986,20.3001,-6.5867,0.5183,3.6578,-0.652,0.07677963018671631,0.023048420142267358,16,F,5.3094375,0.3791642072951375,-0.08312499999999999,0.2767606987543571
D4,54.0,10340.885,26.0,2.1979,10469.652,26.0,3.8835,0.6544,-0.1462,,-0.6477,0.1395,0.04031368690358896,0.017630519749161314,38,C,5.363631578947369,0.4505071073130947,-0.13921052631578948,0.3063999929482218
D5,54.0,10343.819,20.0,2.9325,10371.263,14.0,4.9296,7.8818,-2.6411,0.2191,-0.8623,0.1582,0.027378782449584558,0.022701063395005043,40,F,5.3706999999999985,0.4431480113912281,-0.14675,0.3056009448611048
D6,54.0,10395.794,26.0,2.1759,10407.037,14.0,6.6161,10.3839,-3.2608,0.259,-2.8171,0.4583,0.05657513107948613,0.02710239260152428,31,F,5.508838709677421,0.38428552026092017,-0.13516129032258065,0.308240280884289
D7,54.0,10396.802,22.0,0.8484,10330.228000000001,28.0,4.1054,8.891,-2.7104,0.2023,-1.4955,0.2389,0.04624778906573632,0.006089699667135133,32,F,5.32390625,0.4395254087773965,-0.08906249999999999,0.26515749299944363
D8,54.0,10423.027,26.0,2.6924,10347.965,26.0,5.3933,1.4073,-0.2761,,,,0.05584950676027554,0.04628259613186066,30,A,5.288566666666668,0.4299584230545502,,
D9,54.0,10423.743,26.0,3.0713,10288.944,14.0,4.9201,1.7802,-0.3886,,-1.6107,0.3358,0.045758482628540036,0.026407582489960543,31,C,5.283354838709678,0.4436513123982797,-0.09258064516129033,0.280552079484023
D10,53.0,10486.25,24.0,3.0106,10603.425,14.0,4.9296,5.1592,-1.6215,0.1017,-1.3003,0.3324,0.06510548451933301,0.04556189636813224,36,F,5.3439444444444435,0.4379228714717064,-0.13027777777777785,0.2890836683106651
D11,53.0,10496.113000000001,22.0,0.836,10530.514,28.0,4.1054,8.2727,-2.4029,0.1693,-2.2763,0.3849,0.05873554777036912,0.03078280576793348,30,F,5.342133333333334,0.4277373597067352,-0.07633333333333334,0.2669392356989799
D12,53.0,10510.01,24.0,3.0133,10585.141000000001,14.0,4.9538,5.9366,-2.0516,0.1401,,0.1114,0.05085337305691698,0.0,24,E,5.248833333333333,0.4206168750247136,-0.08416666666666668,0.2982297306142066
D13,53.0,10532.233999999999,26.0,3.9286,10582.16,14.0,6.2227,14.8844,-5.0084,0.4263,-1.7194,0.267,0.03471464227804201,0.0,26,F,5.3204230769230785,0.3651728961503581,-0.09346153846153847,0.26109152989373
D14,53.0,10577.139,26.0,3.3014,10535.708999999999,26.0,6.2057,1.461,-0.2867,,,,0.05553304904480857,0.04102959614706946,28,A,5.35307142857143,0.431582133266777,,
D15,53.0,10616.721000000001,26.0,3.2671,10627.648000000001,14.0,5.8625,4.4738,-1.4666,0.0949,,0.0796,0.03608716377695617,0.0,26,E,5.322846153846154,0.43132788637199215,-0.035,0.25130811612594056
D16,52.0,10753.003999999999,26.0,3.9597,10727.406,14.0,5.984,0.9124,-0.2643,,-0.6092,0.1611,0.050481893499029935,0.03798299582907467,36,C,5.349305555555556,0.4364022621545175,-0.13194444444444445,0.31250617277854104
