pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,a,b,c,d,e,sigma,sigma_r,N,type,mean_T,std_T,mean_FeH,std_FeH
D17,52.0,10818.274,26.0,3.9597,10843.858,14.0,5.8625,1.0622,-0.294,,,0.0564,0.0384336074513925,0.014838415400435338,35,D,5.341485714285715,0.4532571248469127,-0.13342857142857145,0.3028902946814983
D18,52.0,10821.66,24.0,3.0133,10849.465,26.0,5.5392,10.3397,-3.4778,0.2784,,0.0517,0.09553711873234312,0.05513109732092608,25,E,5.24016,0.4357961615250873,-0.0136,0.25304355356341324
D19,52.0,10838.97,20.0,4.8775,10885.333,14.0,6.1807,10.3141,-3.6093,0.2959,,0.0664,0.08356478395778562,0.062369031758068565,32,E,5.34325,0.4602960324617191,-0.0840625,0.2961509262078206
D20,52.0,10881.758,26.0,2.845,10869.536,14.0,5.0823,1.2088,-0.3646,,,0.0608,0.04985144349013092,0.0368444557647824,37,D,5.325918918918919,0.4398604433704792,-0.13432432432432434,0.3094156702170961
D21,52.0,10884.261999999999,26.0,3.9286,10882.809,14.0,5.984,4.3493,-1.344,0.0938,-0.6136,0.1282,0.06396486072510657,0.03426121386995773,36,F,5.373333333333332,0.4244457824295374,-0.11972222222222224,0.3008459010404488
D22,48.0,11638.26,26.0,2.1759,11640.941,14.0,6.2739,8.886,-2.8278,0.2287,-0.1277,,0.0711493686103527,0.03177770385033929,38,H,5.36734210526316,0.4394517682843016,-0.14315789473684212,0.30508070772690105
D23,48.0,11772.838,19.0,1.6171,11700.239,14.0,6.2694,15.153,-5.2545,0.4591,-1.5021,0.2347,0.09726116335576114,0.0864798360591095,37,F,5.333054054054054,0.4458375019659521,-0.1881081081081081,0.3004396583552793
D24,47.0,11884.083,26.0,2.2227,11984.198,14.0,4.9296,5.6093,-1.9003,0.1522,0.0814,,0.025508217037272584,0.020725822805790217,38,H,5.327789473684211,0.4349819813506336,-0.16131578947368422,0.3153208145151252
D25,47.0,11955.955,20.0,4.1308,11863.92,14.0,5.984,16.1567,-5.4128,0.4457,0.1632,,0.09453724899602088,0.0646197006277916,26,H,5.346769230769231,0.3769115696830581,-0.055000000000000014,0.2821926510518875
D26,47.0,11973.046,26.0,2.1759,11991.568000000001,14.0,4.9201,4.3846,-1.4242,0.1134,0.0288,,0.026297339972059915,0.02182278300761412,38,H,5.326315789473685,0.4327335454175466,-0.17026315789473687,0.31086878973633386
D27,46.0,12190.098,26.0,3.6352,12178.339,14.0,6.2694,2.6687,-0.478,,,,0.08733904322192364,0.0628180960840575,28,A,5.328321428571429,0.4212431477671968,,
D28,46.0,12227.112,26.0,4.607,12175.733,14.0,6.6192,8.2386,-2.667,0.2188,-0.3188,,0.11077355588443004,0.089272097131837,28,H,5.450821428571429,0.4050005338242891,-0.05999999999999999,0.2719506257708242
D29,45.0,12342.916000000001,26.0,4.6382,12583.923999999999,14.0,6.6161,2.5127,-0.4577,,,0.046,0.10889740313176137,0.08594082991258324,31,D,5.367645161290323,0.4469174383151046,-0.14258064516129032,0.29054973192581746
D30,45.0,12432.273000000001,19.0,1.61,12390.153999999999,14.0,5.0823,11.6047,-3.8868,0.3196,-0.7711,0.1791,0.054664532077962485,0.042791013585916415,35,F,5.317571428571429,0.43626782637106143,-0.15171428571428575,0.31623215445334474
D31,45.0,12532.84,24.0,2.7088,12395.832,14.0,4.9538,15.7488,-5.505,0.4568,0.2494,,0.0952415465080418,0.06126749791842007,29,H,5.258344827586208,0.4090548631833337,-0.10793103448275863,0.2994981930789408
D32,45.0,12556.996000000001,26.0,2.2786,12433.452,12.0,5.9328,1.1036,-0.2744,,,0.0249,0.062913787316079,0.0495751543584597,34,D,5.342588235294118,0.4186362395183463,-0.12176470588235296,0.3175871403182152
D33,44.0,12847.034,22.0,1.4432,12615.928,26.0,4.6382,8.728,-2.8041,0.2176,-0.1211,,0.05649802016111476,0.041117985512816604,30,H,5.254366666666668,0.4188428092839708,-0.1686666666666667,0.2868301859211397
D34,43.0,12909.07,20.0,4.43,13102.056999999999,14.0,6.0827,9.9504,-3.4917,0.2891,0.2077,,0.15636098385275055,0.13960817384608898,32,H,5.28165625,0.4299770785587733,-0.08625,0.28052127815907296
D35,43.0,12910.09,24.0,2.7079,13152.743,14.0,4.9201,2.3372,-0.4843,,,,0.0841305766923745,0.06332214891437439,18,A,5.328333333333333,0.36466620962798896,,
D36,43.0,12975.91,25.0,2.8884,13029.524,14.0,6.0827,2.7487,-0.4277,,-2.4618,0.4568,0.11227273004529058,0.09523869328201116,36,C,5.332472222222223,0.4270959745193313,-0.10805555555555556,0.2850128597921743
D37,43.0,13006.684,26.0,2.9904,13176.888,14.0,5.8625,1.7054,-0.4113,,0.4124,,0.07356938925015036,0.06253020600137665,37,G,5.308891891891891,0.42849067502444815,-0.13054054054054054,0.30968987055445024
D38,43.0,13033.553999999998,20.0,4.441,13030.921,14.0,6.0787,13.8736,-4.8074,0.4082,,0.0156,0.06740533781402767,0.04940470739528567,39,E,5.336743589743589,0.43584563945652544,-0.1476923076923077,0.3109988996473365
