pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,a,b,c,d,e,sigma,sigma_r,N,type,mean_T,std_T,mean_FeH,std_FeH
G1,57,9832.1397,22,1.8871,9868.1857,26,5.0856,-0.764,0.9393,-0.1635,-0.0794,,0.05489832181300314,0.02087854304195416,24,H,4.386324454166666,0.4366846452366131,-0.244530717,0.2862903416441689
G2,57,9879.583,22,1.8732,9889.0351,26,5.0331,3.2229,-0.8764,,0.1351,,0.04033482135450277,0.0,13,G,4.063205038461538,0.2627068734730274,-0.19978716292307694,0.3164206507029144
G3,56,9927.3506,22,1.8792,9944.2065,26,5.0117,-3.8632,2.3617,-0.3247,,-0.0397,0.07152172195567666,0.04543118499406696,17,E,4.312924947058824,0.39859692817677983,-0.2677660177647059,0.2589728086189211
G4,56,9997.9591,22,1.8732,9980.4629,26,5.0331,2.9998,-0.6171,,,,0.08029728369695834,0.05358495888798257,15,A,4.282856613333333,0.3649370983405256,,
G5,56,10005.664,22,1.0666,10003.088,22,2.1603,2.5017,-0.7068,,,,0.03689893659352453,0.0,11,A,3.9572114,0.1879364911582201,,
G6,56,10059.904,22,1.4298,10046.414,27,2.7177,0.518,0.3252,-0.0888,-0.1217,,0.053081177428474284,0.0,17,H,4.182433982352942,0.3826483944431468,-0.29640231105882353,0.2445622101761242
G7,56,10066.511999999999,22,2.1603,10065.045,26,4.8349,9.8701,-4.1926,0.4201,,0.0663,0.07556910641224196,0.038245867233194536,19,E,4.196976926315789,0.3526517347852081,-0.2619459156842105,0.2618132217471078
G8,55,10155.162,26,2.1759,10193.224,28,4.0893,0.8609,-0.1845,,-1.4133,0.3198,0.04849140013696198,0.025782348709845703,25,C,4.3697011439999995,0.43554307110955454,-0.24376155031999996,0.2805314102683414
G9,55,10167.468,26,2.1979,10145.561,26,4.7955,2.9649,-1.191,0.109,-0.7636,0.1901,0.02511413922734112,0.0054106816021200895,25,F,4.3697011439999995,0.43554307110955454,-0.24376155031999996,0.2805314102683414
G10,55,10170.488000000001,22,1.4432,10195.105,26,2.7275,2.9708,-0.8123,,,0.0306,0.0429571151568775,0.0,15,D,4.068122600000001,0.24845386677811526,-0.20223774786666665,0.295147263556854
G11,55,10189.146,22,1.4601,10218.408000000001,26,3.0713,3.3062,-0.9129,,,0.0439,0.04816004338813048,0.0064566266356226145,14,D,4.057514028571428,0.2730123700877397,-0.21164826271428566,0.2945157100914848
G12,55,10265.216999999999,26,2.2227,10216.313,26,4.7331,1.1546,-0.3287,,-0.7534,0.2151,0.054711526442383085,0.029641932266765838,24,C,4.346732758333333,0.42943354771668496,-0.22556779825,0.2714804501131891
G13,54,10332.327,26,3.6352,10353.804,26,5.3933,1.5182,-0.3279,,,-0.0227,0.04730427780520191,0.0,18,D,4.396548972222223,0.3532206058313445,-0.13562765933333332,0.24101680788214955
G14,54,10340.885,26,2.1979,10288.944,14,4.9201,3.627,-1.3039,0.116,-0.9312,0.2017,0.02253031869199418,0.0,26,F,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G15,54,10395.794,26,2.1759,10371.263,14,4.9296,1.0589,-0.2463,,-0.4515,0.11,0.028335323577568336,0.01997720852050674,24,C,4.405172041666666,0.4129526486578535,-0.2391136336666667,0.2786708118232284
G16,54,10396.802,22,0.8484,10347.965,26,5.3933,4.8145,-1.5136,0.1235,-0.1906,,0.034210367688523625,0.0,26,H,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G17,54,10423.743,26,3.0713,10459.46,16,6.8601,0.3181,0.6508,-0.1443,0.1946,,0.04317998145454414,0.0,15,H,4.6424415,0.30832107740230563,-0.30801915306666666,0.231441913244
G18,54,10460.049,22,2.2556,10469.652,26,3.8835,1.7909,-0.5007,,,0.0495,0.059181843670278136,0.03688613086013024,16,D,4.15419003125,0.24408108931508246,-0.2023042355,0.2794808749344687
G19,53,10486.25,24,3.0106,10530.514,28,4.1054,4.1417,-1.5081,0.1406,,,0.05887380389268523,0.03677359349022315,24,B,4.300677204166667,0.4064760552853129,,
G20,53,10496.113000000001,22,0.836,10611.686000000002,26,6.1692,-0.5287,0.9339,-0.1565,-0.2309,,0.04025511821723654,0.0,25,H,4.328084412,0.4202875125063377,-0.24342394952,0.2802666036427251
G21,53,10551.757,22,1.8871,10510.01,24,3.0133,1.6325,-0.4797,,,0.0307,0.032604009245508464,0.0,8,D,3.9566003375,0.19342179836645207,-0.239534045625,0.2610866050380781
G22,53,10552.965,22,2.2492,10577.139,26,3.3014,1.7385,-0.4655,,,,0.0758527107412934,0.028302983383779814,18,A,4.152727250000001,0.29808636113498554,,
G23,53,10565.952,22,2.2363,10532.233999999999,26,3.9286,1.8693,-0.5666,,-2.0469,0.5846,0.056310748680932075,0.0,15,C,4.084191713333333,0.297511990768307,-0.19437201413333333,0.3026990578231338
G24,53,10607.718,22,0.8484,10672.14,24,3.0133,-4.4097,2.5411,-0.3471,-0.095,,0.048479644469267086,0.0207745457568899,20,H,4.174272190000001,0.3162364553226935,-0.2129982469,0.27522038131200965
G25,53,10647.64,24,3.0106,10627.648000000001,14,5.8625,2.3298,-0.5909,,-2.3576,0.6358,0.049672082423797316,0.024174075891748404,20,C,4.25327562,0.3984247835210351,-0.20155924655,0.2726561743811084
G26,53,10667.52,24,3.0128,10603.425,14,4.9296,1.908,-0.542,,-2.1786,0.6058,0.05185669223963662,0.03192031689926034,22,C,4.287516077272728,0.3970018988876318,-0.22136945595454546,0.2674272594409599
G27,53,10677.046999999999,22,0.836,10616.721000000001,26,3.2671,-2.9606,2.1775,-0.3312,,,0.06328699922505138,0.04698019485183958,19,B,4.2119879052631575,0.345696395287708,,
G28,52,10726.391000000001,22,0.8129,10689.716,14,5.9537,-2.668,1.8701,-0.2811,-1.4054,0.3341,0.03307214746878648,0.014110421098842996,26,F,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G29,52,10732.864,22,0.8259,10749.378,14,4.9296,-2.1931,1.634,-0.2701,-1.2776,0.3378,0.046865177469245685,0.018361565216954104,26,F,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G30,52,10753.003999999999,26,3.9597,10727.406,14,5.984,3.0673,-1.2175,0.1063,-0.7238,0.1959,0.04727543680347224,0.02006012372821616,26,F,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G31,52,10783.05,26,3.111,10843.858,14,5.8625,0.904,-0.2231,,-1.0191,0.2492,0.03831115901456104,0.0229546903108244,26,C,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G32,52,10786.848999999998,14,4.9296,10784.562,14,5.9639,2.5078,-0.7629,0.0671,,-0.0262,0.026875737031786417,0.0,26,E,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G33,52,10801.36,24,3.0111,10849.465,26,5.5392,2.3455,-0.516,,,,0.07814817666434079,0.047639292318304216,22,A,4.286807490909092,0.3975537647800987,,
G34,52,10816.91,24,3.0128,10827.088,14,4.9538,-2.217,1.3658,-0.2335,-1.9666,0.5629,0.03699181668124822,0.0,20,F,4.21398664,0.3634259424877624,-0.17724704640000002,0.26391592352240906
G35,52,10821.66,24,3.0133,10863.518,26,4.7331,1.6933,-0.4121,,-1.9006,0.4748,0.03159720902579068,0.0,22,C,4.274819954545456,0.4024507989707876,-0.21699441054545454,0.2708368021507958
G36,52,10881.758,26,2.845,10882.809,14,5.984,2.267,-0.4754,,,0.0358,0.03916984632328517,0.023408592648066075,23,D,4.4137461217391305,0.420104932766808,-0.20937937643478266,0.2663955926381267
G37,48,11588.684,28,4.2357,11700.239,14,6.2694,1.0512,-0.2901,,,,0.08803293237606942,0.06986083821795196,16,A,4.36340189375,0.4140725403279713,,
G38,48,11630.916000000001,27,3.4092,11640.941,14,6.2739,2.0077,-0.4776,,,0.0456,0.1219408589345034,0.08106914098847881,25,D,4.332285276,0.4266686758210453,-0.23491754792,0.26991035003369795
G39,48,11780.542,22,1.4432,11783.265,26,2.8316,1.7826,-0.4898,,-1.0105,0.3,0.06539012415930172,0.04109046003893498,21,C,4.214000238095238,0.3556575115246348,-0.2224819756190476,0.271652016708306
G40,47,11797.186000000002,22,1.4298,11955.955,20,4.1308,1.7675,-0.3598,,-1.8629,0.4298,0.08019264229622149,0.04811684410924436,22,C,4.2382757500000015,0.3648532953323889,-0.20872245627272729,0.2727935484754309
G41,47,11882.844,26,2.1979,12031.503999999999,14,4.9538,0.77,-0.1692,,-0.5355,0.1371,0.02707745194825065,0.023150086105867218,26,C,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G42,47,11884.083,26,2.2227,11991.568000000001,14,4.9201,1.8737,-0.6487,0.0523,-0.4802,0.1201,0.022488461199672183,0.017366000358053857,26,F,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G43,47,11892.877,22,1.4298,11984.198,14,4.9296,1.9877,-0.511,,-1.6106,0.4236,0.04801528267599492,0.03949498745845576,26,C,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G44,46,12105.841,20,4.5541,12081.972,14,6.2612,2.1192,-0.521,,,0.0572,0.08582151297336915,0.03711129444528169,23,D,4.283461443478262,0.4081168273888164,-0.21722198208695656,0.2742216724244913
G45,46,12190.098,26,3.6352,12178.339,14,6.2694,2.3701,-0.4438,,,0.0438,0.05704401892640783,0.032694055651997574,16,D,4.56966459375,0.34396058041373795,-0.2457211775625,0.2662257951873052
G46,46,12249.403,23,2.359,12227.112,26,4.607,2.7819,-0.7509,,0.2586,,0.050946215811145085,0.0,10,G,4.00469736,0.2330485821310408,-0.1713931492,0.2721059190241495
G47,45,12340.481000000002,26,2.2786,12342.916000000001,26,4.6382,1.0963,-0.2663,,-0.8889,0.2133,0.025974140375314796,0.0,19,C,4.254853110526316,0.3909202530345369,-0.1852983377894737,0.2602034781350449
G48,45,12532.84,24,2.7088,12510.518999999998,26,4.9556,2.0315,-0.404,,-0.0924,,0.04971848039465477,0.0,21,G,4.264843014285715,0.393651492336614,-0.21201721371428567,0.26651137500986066
G49,45,12556.996000000001,26,2.2786,12583.923999999999,14,6.6161,2.7085,-0.4964,,0.2089,,0.10881860720268408,0.06532294986613782,16,G,4.4449487875,0.402239845232367,-0.2415704881875,0.23279850426314025
G50,44,12671.096000000001,22,1.4298,12648.741000000002,26,4.607,-1.7573,1.4349,-0.2404,-2.4982,0.6292,0.056437341237748274,0.03684880725169923,23,F,4.273709152173914,0.39363912778709853,-0.21006285121739127,0.2668714192291263
G51,44,12738.383,22,2.1747,12615.928,26,4.6382,1.9059,-0.4206,,,,0.0521115813926524,0.03773289095952958,23,A,4.314202808695653,0.4057898955565357,,
G52,44,12744.905,22,2.4875,12816.045,20,3.9104,1.5809,-0.4195,,,,0.06759017133388236,0.04018833164251786,19,A,4.197948294736843,0.34516477536635115,,
G53,44,12811.478000000001,22,2.1603,12823.867,20,3.9104,-4.6871,2.4521,-0.3159,-0.1379,,0.05130923221696824,0.01641384895581825,21,H,4.2278902047619065,0.3815257729590513,-0.214409118,0.2684873464298335
G54,44,12821.671999999999,22,1.4601,12807.152,26,3.6398,1.4252,-0.2703,,,-0.0134,0.052520066099098026,0.026392778810032342,26,D,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
G55,44,12831.445,22,1.4298,12808.243,26,4.988,2.1055,-0.367,,-0.1965,,0.04123596985459326,0.0,20,G,4.328018645,0.3931377120082167,-0.15513054789999994,0.2402830273978173
G56,44,12847.034,22,1.4432,12789.45,26,5.0095,-0.3088,0.7292,-0.1194,-0.2001,,0.05600920921178533,0.0,21,H,4.2980002142857145,0.4115026806647088,-0.20194392847619047,0.27161597194341874
G57,43,12901.212,23,1.9553,13006.684,26,2.9904,2.6427,-0.6645,,-2.8374,0.8028,0.06403618229494837,0.02379937626327874,17,C,4.088568900000001,0.2556068902622151,-0.2307493710588235,0.28807256260165715
G58,43,12909.07,20,4.43,13030.921,14,6.0787,2.2342,-0.5181,,,0.0436,0.06580599495632783,0.029628892807285968,23,D,4.36299967826087,0.4242794148970873,-0.21566154817391306,0.2729961194764345
G59,43,12910.09,24,2.7079,12896.118,26,4.913,1.7809,-0.3623,,,,0.0390883481323652,0.0,23,A,4.273709152173914,0.39363912778709853,,
G60,43,12919.899,22,2.1535,13029.524,14,6.0827,3.9677,-0.8833,,,,0.06124045483992869,0.03159752165850445,16,A,4.19257203125,0.28965496422524795,,
G61,43,12921.81,24,2.7088,12932.313,22,5.1291,1.8397,-0.5089,,-1.39,0.4165,0.04023401548991205,0.0,17,C,4.116321276470589,0.2953221007427266,-0.182464724,0.2864603152702211
G62,43,12927.476999999999,22,2.1535,13098.876,26,5.0095,3.1795,-0.7901,,0.2449,,0.08425046340128675,0.042157986608845545,10,G,3.95909359,0.22619325771008955,-0.1813631472,0.2948554890945993
G63,43,12937.02,24,2.7099,12934.666000000001,26,5.3933,2.2629,-0.4599,,,,0.04633175657735122,0.0,23,A,4.273709152173914,0.39363912778709853,,
G64,43,12950.896,22,3.4406,13102.056999999999,14,6.0827,2.7437,-0.7154,,-2.0175,0.5773,0.09541274000550966,0.07004481135943877,20,C,4.185705765,0.3406310279449163,-0.19470554790000005,0.2816637311490339
G65,43,12987.567,22,2.5057,13048.181,28,4.5379,3.1194,-0.7706,,-0.0581,0.0346,0.06706147819936445,0.0,15,C,4.0525000533333335,0.2443983773783696,-0.1854910798666667,0.2809722959052504
G66,43,13005.365,22,2.1747,13039.646999999999,26,5.6547,3.7304,-0.863,,,,0.07878703629067578,0.0,9,A,4.152683866666666,0.3336595091944247,,
G67,43,13011.896999999999,22,1.4432,13147.92,26,5.3933,-2.7307,2.0759,-0.3237,-2.1318,0.5275,0.0524500627345019,0.017390812489231168,22,F,4.2382757500000015,0.3648532953323889,-0.20872245627272729,0.2727935484754309
G68,43,13033.553999999998,20,4.441,13176.888,14,5.8625,1.3992,-0.3694,,,0.0487,0.0653803632273872,0.04746450355563234,26,D,4.354925934615385,0.43342746699650014,-0.25205193453846153,0.2781893108531648
