d,D,B,rsmin,serie
0.001,0.004,0.0,0.0,09
0.001,0.004,0.0016,0.0001,19
0.001,0.004,0.0,0.0001,29
0.001,0.004,0.0023,0.0001,39
0.001,0.004,0.0,0.0,49
0.001,0.004,0.0,0.0,59
0.001,0.004,0.0,0.0,69
0.0015,0.005,0.0,0.0,09
0.0015,0.005,0.002,0.00015,19
0.0015,0.005,0.0,0.00015,29
0.0015,0.005,0.0026000000000000003,0.00015,39
0.0015,0.005,0.0,0.0,49
0.0015,0.005,0.0,0.0,59
0.0015,0.005,0.0,0.0,69
0.002,0.006,0.0,0.0,09
0.002,0.006,0.0023,0.00015,19
0.002,0.006,0.0,0.00015,29
0.002,0.006,0.003,0.00015,39
0.002,0.006,0.0,0.0,49
0.002,0.006,0.0,0.0,59
0.002,0.006,0.0,0.0,69
0.0025,0.007,0.0,0.0,09
0.0025,0.007,0.0025,0.00015,19
0.0025,0.007,0.0,0.00015,29
0.0025,0.007,0.0035,0.00015,39
0.0025,0.007,0.0,0.0,49
0.0025,0.007,0.0,0.0,59
0.0025,0.007,0.0,0.0,69
0.003,0.008,0.0,0.0,09
0.003,0.008,0.003,0.00015,19
0.003,0.008,0.0,0.00015,29
0.003,0.008,0.004,0.00015,39
0.003,0.008,0.0,0.0,49
0.003,0.008,0.0,0.0,59
0.003,0.008,0.0,0.0,69
0.004,0.011,0.0,0.0,09
0.004,0.011,0.004,0.00015,19
0.004,0.011,0.0,0.00015,29
0.004,0.011,0.005,0.00015,39
0.004,0.011,0.0,0.0,49
0.004,0.011,0.0,0.0,59
0.004,0.011,0.0,0.0,69
0.005,0.013000000000000001,0.0,0.0,09
0.005,0.013000000000000001,0.004,0.0002,19
0.005,0.013000000000000001,0.0,0.0002,29
0.005,0.013000000000000001,0.006,0.0002,39
0.005,0.013000000000000001,0.01,0.00015,49
0.005,0.013000000000000001,0.0,0.00015,59
0.005,0.013000000000000001,0.0,0.00015,69
0.006,0.015,0.0,0.0,09
0.006,0.015,0.005,0.0002,19
0.006,0.015,0.0,0.0002,29
0.006,0.015,0.007,0.0002,39
0.006,0.015,0.01,0.00015,49
0.006,0.015,0.0,0.00015,59
0.006,0.015,0.0,0.00015,69
0.007,0.017,0.0,0.0,09
0.007,0.017,0.005,0.0003,19
0.007,0.017,0.0,0.0003,29
0.007,0.017,0.007,0.0003,39
