atomic_number,name,chi
1,H,13.598434005136
2,He,24.587387936
3,Li,5.391714761
4,Be,9.322699
5,B,8.298019
6,C,11.260296
7,N,14.53413
8,O,13.618054
9,F,17.42282
10,Ne,21.56454
11,Na,5.1390767
12,Mg,7.646235
13,Al,5.9857684
14,Si,8.151683
15,P,10.486686
16,S,10.36001
17,Cl,12.96763
18,Ar,15.7596112
19,K,4.34066354
20,Ca,6.1131552
21,Sc,6.56149
22,Ti,6.82812
23,V,6.746187
24,Cr,6.76651
25,Mn,7.434018
26,Fe,7.9024678
27,Co,7.88101
28,Ni,7.639877
29,Cu,7.72638
30,Zn,9.394199
31,Ga,5.9993018
32,Ge,7.899435
33,As,9.789
34,Se,9.752392
35,Br,11.81381
36,Kr,13.9996049
37,Rb,4.177128
38,Sr,5.6948672
39,Y,6.21726
40,Zr,6.6339
41,Nb,6.75885
42,Mo,7.09243
43,Tc,7.119381
44,Ru,7.3605
45,Rh,7.4589
46,Pd,8.33686
47,Ag,7.576234
48,Cd,8.993822
49,In,5.7863552
50,Sn,7.343917
51,Sb,8.608389
52,Te,9.00966
53,I,10.45126
54,Xe,12.1298431
55,Cs,3.893905548
56,Ba,5.211664
57,La,5.5769
58,Ce,5.5386
59,Pr,5.473
60,Nd,5.525
61,Pm,5.582
62,Sm,5.64371
63,Eu,5.670385
64,Gd,6.149796
65,Tb,5.8638
66,Dy,5.93905
67,Ho,6.0215
68,Er,6.1077
69,Tm,6.18431
70,Yb,6.25416
71,Lu,5.425871
72,Hf,6.82507
73,Ta,7.54957
74,W,7.86403
75,Re,7.83352
76,Os,8.43823
77,Ir,8.96702
78,Pt,8.95883
79,Au,9.225553
80,Hg,10.437504
81,Tl,6.108287
82,Pb,7.4166796
83,Bi,7.285516
84,Po,8.414
85,At,9.31751
86,Rn,10.7485
87,Fr,4.0727409
88,Ra,5.278424
89,Ac,5.380226
90,Th,6.3067
91,Pa,5.89
92,U,6.19405
93,Np,6.2655
94,Pu,6.0258
95,Am,5.9738
96,Cm,5.9914
97,Bk,6.1978
98,Cf,6.2817
99,Es,6.3676
100,Fm,6.5
101,Md,6.58
102,No,6.65
103,Lr,4.9
104,Rf,6.01
105,Db,6.8
106,Sg,7.8
107,Bh,7.7
108,Hs,7.6
