Id Parlamento,Nome,Apelido,Cargo,Partido,UF,Handles,ID Twitter,ID Facebook
3713,Maria de Fátima Bezerra,Fátima Bezerra,Senador ,PT,RN,fatimabezerra,51064768,
4558,Gladson de Lima Cameli,Gladson Cameli,Senador ,PP,AC,GladsonCameli,96775581,
456,Ronaldo Ramos Caiado,Ronaldo Caiado,Senador,DEM,GO,ronaldocaiado,32101740,
204377,Paula Moreno Paro Belmonte,Paula Belmonte,Deputado,CIDADANIA,DF,paulambelmonte,989854043370606592,id481960978885807
196358,Lourival Gomes De Almeida,Lourival Gomes,Deputado,PSL,RJ,lourivalgomesrj,989106335622090752,id166734243873930
74052,João Bosco Da Costa,Bosco Costa,Deputado,PL,SE,BoscoCostapr,988780366453465089,id351151221703405
204456,Gutemberg Reis De Oliveira,Gutemberg Reis,Deputado,MDB,RJ,guth_reis,987482475071930369,id252586015156597
5979,Leila Gomes de Barros Rêgo,Leila Barros,Senador,PSB,DF,leiladovolei,986978033159626754,id578898368860170
108338,Dirlaine Jaqueline Cassol,Jaqueline Cassol,Deputado,PP,RO,jqcassol,985573574466506753,id1420022301592431
204415,Nereu Crispim,Nereu Crispim,Deputado,PSL,RS,nereucrispim,984535500110393344,id281213435750740
204545,Alessandra Da Silva,Alê Silva,Deputado,PSL,MG,alesilva_38,984479654399610882,id549608648565581
204508,Igor Tarciano Timo,Igor Timo,Deputado,PODE,MG,oficialigortimo,981604712238780432,
204507,Carla Zambelli Salgado,Carla Zambelli,Deputado,PSL,SP,carlazambelli38,975127727501185025,id198620036895177
204448,Luiz Antonio Da Costa Carvalho Correa Da Silva,Luiz Antônio Corrêa,Deputado,PL,RJ,depluizantonio,974553742371520512,id461990540812267
204455,Luiz Eduardo Carneiro Da Silva De Souza Lima,Luiz Lima,Deputado,PSL,RJ,oficialluizlima,966061552943222785,id1827699960809554
285,Márcio Miguel Bittar,Marcio Bittar,Senador,MDB,AC,marciombittar,96180599,
204528,Adriana Miguel Ventura,Adriana Ventura,Deputado,NOVO,SP,adrianasounovo,955773266089607168,id894546260714988
204563,Josimar Cunha Rodrigues,Josimar Maranhãozinho,Deputado,PL,MA,josimarpr22,948927124316008449,id775669792490001
204523,Lucas De Vasconcelos Gonzalez,Lucas Gonzalez,Deputado,NOVO,MG,lucasvgonzalez,948546628692205568,id537393773101072
204548,Heitor Rodrigo Pereira Freire,Heitor Freire,Deputado,PSL,CE,heitorfreirece,946360472286257152,id844031609039240
5666,Sergio Olimpio Gomes,Major Olimpio,Senador,PSL,SP,majorolimpio,94451423,id169733469856759
204371,Felipe Rigoni Lopes,Felipe Rigoni,Deputado,PSB,ES,rigoni_felipe,939423395376136192,id1635492076680391
204385,José Valdevan De Jesus Santos,Valdevan Noventa,Deputado,PSC,SE,valdevannoventa,934476175354875905,id136974320321805
160527,Aguinaldo Velloso Borges Ribeiro,Aguinaldo Ribeiro,Deputado,PP,PB,depaguinaldo11,930169595238998016,id1856690847884992
204520,Geraldo Junio Do Amaral,Junio Amaral,Deputado,PSL,MG,cabojunioamaral,917727546615193601,id815039985305536
204454,Daniel Lucio Da Silveira,Daniel Silveira,Deputado,PSL,RJ,danielpmerj,912492779669999616,id1233730513413646
204514,Marcio Tadeu Anhaia De Lemos,Coronel Tadeu,Deputado,PSL,SP,coroneltadeu,907301328988332033,id1821705364774977
204420,Gulliem Charles Bezerra Lemos,Julian Lemos,Deputado,PSL,PB,julianlemosopb1,903004267463806993,id922891834420704
4560,Sérgio de Oliveira Cunha,Sérgio Petecão,Senador,PSD,AC,senadorpetecao,87186953,id245784392128312
204459,Daniela Mote De Souza Carneiro,Daniela do Waguinho,Deputado,MDB,RJ,danielawaguinho,869919798767091712,id300746857005170
5411,Weverton Rocha Marques de Sousa,Weverton,Senador,PDT,MA,wevertonrocha,85859074,id142099522556207
194260,Nivaldo Ferreira De Albuquerque Neto,Nivaldo Albuquerque,Deputado,PTB,AL,nivaldoalbuque,854773827515142148,id138502099895292
5012,Randolph Frederich Rodrigues Alves,Randolfe Rodrigues,Senador,REDE,AP,randolfeap,85327394,id687008454694990
204516,Alexis Joseph Steverlynck Fonteyne,Alexis Fonteyne,Deputado,NOVO,SP,alexisfonteyne,852253471101378567,id727528134072647
204473,Eliéser Girão Monteiro Filho,General Girão,Deputado,PSL,RN,generalgirao,841700087143288832,id588520408170543
122974,Pedro Lucas Andrade Fernandes Ribeiro,Pedro Lucas Fernandes,Deputado,PTB,MA,_PedroLucasF,839900485494657027,id737219703041909
133968,Paulo Sérgio Ramos Barboza,Paulo Ramos,Deputado,PDT,RJ,pauloramosdep,834125429153882112,
5967,Angelo Mario Coronel de Azevedo Martins,Angelo Coronel,Senador,PSD,BA,angelocoronel_,829391158208032768,id405696379766191
4770,Izalci Lucas Ferreira,Izalci Lucas,Senador,PSDB,DF,izalcilucas,82144764,id1385505868350890
178829,Jose Augusto Rosa,Capitão Augusto,Deputado,PL,SP,deputadocapitao,790964369593102336,id1378617549025463
5617,Sebastião Valadares Neto,Pastor Valadares,Senador,PDT,RO,ValadaresPSB,78446086,
204552,Eduardo Salim Braide,Eduardo Braide,Deputado,PODE,MA,soueduardo33,781695188653703168,id1417942768479036
178884,Hildo Augusto Da Rocha Neto,Hildo Rocha,Deputado,MDB,MA,hildorochaPMDB,772965162810761216,id587492024677202
73696,Angela Regina Heinzen Amin Helou,Angela Amin,Deputado,PP,SC,angelaamin11,766624608338477056,id291052834605299
204457,Rogerio Teixeira Junior,Juninho do Pneu,Deputado,DEM,RJ,juninhodopneu,763748507853459456,id600557210105330
5732,Rodrigo Otavio Soares Pacheco,Rodrigo Pacheco,Senador,DEM,MG,rpsenador,762786918086180864,
5008,Humberto Sérgio Costa Lima,Humberto Costa,Senador,PT,PE,senadorhumberto,76049312,id174217422747805
5529,Antonio Augusto Junho Anastasia,Antonio Anastasia,Senador,PSD,MG,Anastasia,74500609,
5990,Carlos Alberto Dias Viana,Carlos Viana,Senador,PSD,MG,carlosaviana,74309518,id157982450937286
945,Alvaro Fernandes Dias,Alvaro Dias,Senador,PODEMOS,PR,alvarodias_,73745956,
3361,José Targino Maranhão,José Maranhão,Senador,MDB,PB,josemaranhaopb,72849001,
204526,Luiz Philippe De Orleans Bragança,Luiz Philippe de Orleans e Bragança,Deputado,PSL,SP,lpbragancabr,728281672731471873,id678761768950811
204571,Alex Marco Santana Sousa,Alex Santana,Deputado,PDT,BA,depalexsantana,715890732528222208,id1925056834487233
160528,Danilo Jorge De Barros Cabral,Danilo Cabral,Deputado,PSB,PE,danilocabral__,712446730856505345,id297853750374882
1173,Wellington Antonio Fagundes,Wellington Fagundes,Senador,PL,MT,sen_wellington,71065638,
178985,Miguel Lombardi,Miguel Lombardi,Deputado,PL,SP,DMiguellombardi,703312028027523073,id503151713035561
4981,Acir Marcos Gurgacz,Acir Gurgacz,Senador,PDT,RO,acirgurgacz,67601773,
739,Ciro Nogueira Lima Filho,Ciro Nogueira,Senador,PP,PI,ciro_nogueira,67098726,id274527822566791
878,José Aníbal Peres de Pontes,José Aníbal,Senador,PSDB,SP,jose_anibal,63760347,
581,Jaques Wagner,Jaques Wagner,Senador,PT,BA,jaqueswagner,62501888,id136224023082363
475,Confúcio Aires Moura,Confúcio Moura,Senador,MDB,RO,confuciomoura,59151531,
35,Jader Fontenelle Barbalho,Jader Barbalho,Senador,MDB,PA,jader_barbalho,58578276,id133602516654912
1186,Luis Carlos Heinze,Luis Carlos Heinze,Senador,PP,RS,SenadorHeinze,57648137,id355458947869655
4606,José Eleonildo Soares,Pinto Itamaraty,Senador,PSDB,MA,pintoitamaraty,57024921,
5748,Veneziano Vital do Rêgo Segundo Neto,Veneziano Vital do Rêgo,Senador,PSB,PB,venezianovital,56734024,id424808937641023
5942,Marcos Ribeiro do Val,Marcos do Val,Senador,PODEMOS,ES,marcosdoval,54600557,id360331564101406
