,occ_code,occ_title,o_group,tot_emp
1515,11-0000,Management Occupations,major,502060
1516,13-0000,Business and Financial Operations Occupations,major,611820
1517,15-0000,Computer and Mathematical Occupations,major,272070
1518,17-0000,Architecture and Engineering Occupations,major,107230
1519,19-0000,"Life, Physical, and Social Science Occupations",major,72570
1520,21-0000,Community and Social Service Occupations,major,198410
1521,23-0000,Legal Occupations,major,116130
1522,25-0000,Educational Instruction and Library Occupations,major,708490
1523,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,221800
1524,29-0000,Healthcare Practitioners and Technical Occupations,major,546900
1525,31-0000,Healthcare Support Occupations,major,629090
1526,33-0000,Protective Service Occupations,major,314490
1527,35-0000,Food Preparation and Serving Related Occupations,major,768040
1528,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,311150
1529,39-0000,Personal Care and Service Occupations,major,262220
1530,41-0000,Sales and Related Occupations,major,903950
1531,43-0000,Office and Administrative Support Occupations,major,1334940
1532,45-0000,"Farming, Fishing, and Forestry Occupations",major,4220
1533,47-0000,Construction and Extraction Occupations,major,358350
1534,49-0000,"Installation, Maintenance, and Repair Occupations",major,318830
1535,51-0000,Production Occupations,major,328630
1536,53-0000,Transportation and Material Moving Occupations,major,631580
23401,11-1011,Chief Executives,detailed,8990
23402,11-1021,General and Operations Managers,detailed,168730
23403,11-1031,Legislators,detailed,6310
23404,11-2011,Advertising and Promotions Managers,detailed,7840
23405,11-2021,Marketing Managers,detailed,21550
23406,11-2022,Sales Managers,detailed,24730
23407,11-2030,Public Relations and Fundraising Managers,detailed,6550
23408,11-3010,Administrative Services and Facilities Managers,detailed,19460
23409,11-3021,Computer and Information Systems Managers,detailed,28960
23410,11-3031,Financial Managers,detailed,46100
23411,11-3051,Industrial Production Managers,detailed,5530
23412,11-3061,Purchasing Managers,detailed,4310
23413,11-3071,"Transportation, Storage, and Distribution Managers",detailed,4510
23414,11-3111,Compensation and Benefits Managers,detailed,1550
23415,11-3121,Human Resources Managers,detailed,10980
23416,11-3131,Training and Development Managers,detailed,3050
23417,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,110
23418,11-9021,Construction Managers,detailed,11380
23419,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,3070
23420,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,20670
23421,11-9033,"Education Administrators, Postsecondary",detailed,**
23422,11-9039,"Education Administrators, All Other",detailed,2120
23423,11-9041,Architectural and Engineering Managers,detailed,7060
23424,11-9051,Food Service Managers,detailed,10470
23425,11-9071,Gambling Managers,detailed,200
23426,11-9081,Lodging Managers,detailed,1070
23427,11-9111,Medical and Health Services Managers,detailed,25740
23428,11-9121,Natural Sciences Managers,detailed,1450
23429,11-9131,Postmasters and Mail Superintendents,detailed,830
23430,11-9141,"Property, Real Estate, and Community Association Managers",detailed,8620
23431,11-9151,Social and Community Service Managers,detailed,13820
23432,11-9161,Emergency Management Directors,detailed,640
23433,11-9171,Funeral Home Managers,detailed,540
23434,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,16620
23435,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,3560
23436,13-1020,Buyers and Purchasing Agents,detailed,25840
23437,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,17930
23438,13-1032,"Insurance Appraisers, Auto Damage",detailed,580
23439,13-1041,Compliance Officers,detailed,22040
23440,13-1051,Cost Estimators,detailed,9940
23441,13-1071,Human Resources Specialists,detailed,41880
23442,13-1075,Labor Relations Specialists,detailed,8080
23443,13-1081,Logisticians,detailed,3900
23444,13-1111,Management Analysts,detailed,53370
23445,13-1121,"Meeting, Convention, and Event Planners",detailed,10990
23446,13-1131,Fundraisers,detailed,8260
23447,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,9760
23448,13-1151,Training and Development Specialists,detailed,24190
23449,13-1161,Market Research Analysts and Marketing Specialists,detailed,68680
23450,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,49010
23451,13-2011,Accountants and Auditors,detailed,112030
23452,13-2020,Property Appraisers and Assessors,detailed,2970
23453,13-2031,Budget Analysts,detailed,3150
23454,13-2041,Credit Analysts,detailed,7690
23455,13-2052,Personal Financial Advisors,detailed,26150
23456,13-2053,Insurance Underwriters,detailed,7790
23457,13-2061,Financial Examiners,detailed,11310
23458,13-2071,Credit Counselors,detailed,2480
23459,13-2072,Loan Officers,detailed,13420
23460,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,4650
23461,13-2082,Tax Preparers,detailed,4200
23462,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,57980
23463,15-1211,Computer Systems Analysts,detailed,39860
23464,15-1212,Information Security Analysts,detailed,7120
23465,15-1221,Computer and Information Research Scientists,detailed,1390
23466,15-1231,Computer Network Support Specialists,detailed,13710
23467,15-1232,Computer User Support Specialists,detailed,45250
23468,15-1241,Computer Network Architects,detailed,8350
23469,15-1244,Network and Computer Systems Administrators,detailed,25910
23470,15-1245,Database Administrators and Architects,detailed,7730
23471,15-1251,Computer Programmers,detailed,13380
23472,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,78890
