,occ_code,occ_title,o_group,tot_emp
23473,15-1257,Web Developers and Digital Interface Designers,detailed,13000
23474,15-1299,"Computer Occupations, All Other",detailed,5360
23475,15-2011,Actuaries,detailed,2330
23476,15-2021,Mathematicians,detailed,100
23477,15-2031,Operations Research Analysts,detailed,6510
23478,15-2041,Statisticians,detailed,1200
23479,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1980
23480,17-1011,"Architects, Except Landscape and Naval",detailed,11470
23481,17-1012,Landscape Architects,detailed,1570
23482,17-1021,Cartographers and Photogrammetrists,detailed,130
23483,17-1022,Surveyors,detailed,1610
23484,17-2011,Aerospace Engineers,detailed,270
23485,17-2031,Bioengineers and Biomedical Engineers,detailed,560
23486,17-2041,Chemical Engineers,detailed,770
23487,17-2051,Civil Engineers,detailed,16400
23488,17-2061,Computer Hardware Engineers,detailed,1240
23489,17-2071,Electrical Engineers,detailed,9560
23490,17-2072,"Electronics Engineers, Except Computer",detailed,3660
23491,17-2081,Environmental Engineers,detailed,3110
23492,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,1760
23493,17-2112,Industrial Engineers,detailed,11760
23494,17-2121,Marine Engineers and Naval Architects,detailed,200
23495,17-2131,Materials Engineers,detailed,800
23496,17-2141,Mechanical Engineers,detailed,10050
23497,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,30
23498,17-2161,Nuclear Engineers,detailed,290
23499,17-2199,"Engineers, All Other",detailed,4740
23500,17-3011,Architectural and Civil Drafters,detailed,6360
23501,17-3012,Electrical and Electronics Drafters,detailed,1230
23502,17-3013,Mechanical Drafters,detailed,2540
23503,17-3019,"Drafters, All Other",detailed,650
23504,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,280
23505,17-3022,Civil Engineering Technologists and Technicians,detailed,1790
23506,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,5730
23507,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,300
23508,17-3025,Environmental Engineering Technologists and Technicians,detailed,640
23509,17-3026,Industrial Engineering Technologists and Technicians,detailed,2830
23510,17-3027,Mechanical Engineering Technologists and Technicians,detailed,1440
23511,17-3031,Surveying and Mapping Technicians,detailed,1370
23512,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,2040
23513,19-1011,Animal Scientists,detailed,140
23514,19-1012,Food Scientists and Technologists,detailed,590
23515,19-1013,Soil and Plant Scientists,detailed,160
23516,19-1021,Biochemists and Biophysicists,detailed,910
23517,19-1022,Microbiologists,detailed,680
23518,19-1023,Zoologists and Wildlife Biologists,detailed,390
23519,19-1029,"Biological Scientists, All Other",detailed,710
23520,19-1031,Conservation Scientists,detailed,470
23521,19-1032,Foresters,detailed,250
23522,19-1041,Epidemiologists,detailed,260
23523,19-1042,"Medical Scientists, Except Epidemiologists",detailed,8590
23524,19-1099,"Life Scientists, All Other",detailed,140
23525,19-2012,Physicists,detailed,900
23526,19-2021,Atmospheric and Space Scientists,detailed,360
23527,19-2031,Chemists,detailed,3650
23528,19-2032,Materials Scientists,detailed,230
23529,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3840
23530,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,660
23531,19-2043,Hydrologists,detailed,170
23532,19-2099,"Physical Scientists, All Other",detailed,910
23533,19-3011,Economists,detailed,820
23534,19-3022,Survey Researchers,detailed,610
23535,19-3031,"Clinical, Counseling, and School Psychologists",detailed,11030
23536,19-3039,"Psychologists, All Other",detailed,550
23537,19-3041,Sociologists,detailed,160
23538,19-3051,Urban and Regional Planners,detailed,1390
23539,19-3091,Anthropologists and Archeologists,detailed,70
23540,19-3093,Historians,detailed,410
23541,19-3094,Political Scientists,detailed,80
23542,19-3099,"Social Scientists and Related Workers, All Other",detailed,2220
23543,19-4010,Agricultural and Food Science Technicians,detailed,1040
23544,19-4021,Biological Technicians,detailed,3920
23545,19-4031,Chemical Technicians,detailed,2510
23546,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,2220
23547,19-4045,Geological and Hydrologic Technicians,detailed,170
23548,19-4051,Nuclear Technicians,detailed,290
23549,19-4061,Social Science Research Assistants,detailed,6170
23550,19-4071,Forest and Conservation Technicians,detailed,360
23551,19-4092,Forensic Science Technicians,detailed,860
23552,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,8680
23553,19-5011,Occupational Health and Safety Specialists,detailed,3930
23554,19-5012,Occupational Health and Safety Technicians,detailed,1020
23555,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,26500
23556,21-1013,Marriage and Family Therapists,detailed,1440
23557,21-1015,Rehabilitation Counselors,detailed,9190
23558,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,14910
23559,21-1019,"Counselors, All Other",detailed,490
23560,21-1021,"Child, Family, and School Social Workers",detailed,29880
23561,21-1022,Healthcare Social Workers,detailed,15720
23562,21-1023,Mental Health and Substance Abuse Social Workers,detailed,11540
23563,21-1029,"Social Workers, All Other",detailed,4910
23564,21-1091,Health Education Specialists,detailed,4360
23565,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,4940
23566,21-1093,Social and Human Service Assistants,detailed,39810
23567,21-1094,Community Health Workers,detailed,7750
23568,21-1099,"Community and Social Service Specialists, All Other",detailed,13750
23569,21-2011,Clergy,detailed,7210
23570,21-2021,"Directors, Religious Activities and Education",detailed,5230
23571,21-2099,"Religious Workers, All Other",detailed,780
23572,23-1011,Lawyers,detailed,77060
23573,23-1012,Judicial Law Clerks,detailed,710
23574,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,1420
23575,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,510
23576,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,3260
23577,23-2011,Paralegals and Legal Assistants,detailed,29310
23578,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,1600
23579,23-2099,"Legal Support Workers, All Other",detailed,2260
23580,25-1011,"Business Teachers, Postsecondary",detailed,9050
23581,25-1021,"Computer Science Teachers, Postsecondary",detailed,3310
23582,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,4730
23583,25-1031,"Architecture Teachers, Postsecondary",detailed,1000
23584,25-1032,"Engineering Teachers, Postsecondary",detailed,2950
23585,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,470
23586,25-1042,"Biological Science Teachers, Postsecondary",detailed,4890
23587,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,150
23588,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,1320
23589,25-1052,"Chemistry Teachers, Postsecondary",detailed,2530
23590,25-1053,"Environmental Science Teachers, Postsecondary",detailed,850
23591,25-1054,"Physics Teachers, Postsecondary",detailed,1540
23592,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,900
23593,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,1670
23594,25-1063,"Economics Teachers, Postsecondary",detailed,2080
23595,25-1064,"Geography Teachers, Postsecondary",detailed,210
23596,25-1065,"Political Science Teachers, Postsecondary",detailed,1640
23597,25-1066,"Psychology Teachers, Postsecondary",detailed,4160
23598,25-1067,"Sociology Teachers, Postsecondary",detailed,1560
23599,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,3630
23600,25-1071,"Health Specialties Teachers, Postsecondary",detailed,22350
23601,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,5030
23602,25-1081,"Education Teachers, Postsecondary",detailed,6210
23603,25-1082,"Library Science Teachers, Postsecondary",detailed,260
23604,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,1130
23605,25-1112,"Law Teachers, Postsecondary",detailed,3330
23606,25-1113,"Social Work Teachers, Postsecondary",detailed,2750
23607,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,11590
23608,25-1122,"Communications Teachers, Postsecondary",detailed,3280
23609,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,8130
23610,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,2610
23611,25-1125,"History Teachers, Postsecondary",detailed,2190
23612,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,3280
23613,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,990
23614,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,4860
23615,25-1199,"Postsecondary Teachers, All Other",detailed,5390
23616,25-2011,"Preschool Teachers, Except Special Education",detailed,23890
23617,25-2012,"Kindergarten Teachers, Except Special Education",detailed,6450
23618,25-2021,"Elementary School Teachers, Except Special Education",detailed,92560
23619,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,42010
23620,25-2023,"Career/Technical Education Teachers, Middle School",detailed,1480
23621,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,75360
23622,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,4680
23623,25-2051,"Special Education Teachers, Preschool",detailed,5930
23624,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,20500
23625,25-2057,"Special Education Teachers, Middle School",detailed,10960
23626,25-2058,"Special Education Teachers, Secondary School",detailed,17340
23627,25-2059,"Special Education Teachers, All Other",detailed,3060
23628,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,3650
23629,25-3021,Self-Enrichment Teachers,detailed,33030
23630,25-3031,"Substitute Teachers, Short-Term",detailed,32440
23631,25-3097,"Tutors and Teachers and Instructors, All Other",detailed,18790
23632,25-4011,Archivists,detailed,1000
23633,25-4012,Curators,detailed,1580
23634,25-4013,Museum Technicians and Conservators,detailed,1480
23635,25-4022,Librarians and Media Collections Specialists,detailed,12990
23636,25-4031,Library Technicians,detailed,8400
23637,25-9021,Farm and Home Management Educators,detailed,90
23638,25-9031,Instructional Coordinators,detailed,17120
23639,25-9044,"Teaching Assistants, Postsecondary",detailed,9310
23640,25-9045,"Teaching Assistants, Except Postsecondary",detailed,131100
23641,25-9099,"Educational Instruction and Library Workers, All Other",detailed,1240
23642,27-1011,Art Directors,detailed,8720
23643,27-1012,Craft Artists,detailed,100
23644,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,1700
23645,27-1014,Special Effects Artists and Animators,detailed,2600
23646,27-1019,"Artists and Related Workers, All Other",detailed,230
23647,27-1021,Commercial and Industrial Designers,detailed,2040
23648,27-1022,Fashion Designers,detailed,8460
23649,27-1023,Floral Designers,detailed,2040
23650,27-1024,Graphic Designers,detailed,21090
23651,27-1025,Interior Designers,detailed,5250
23652,27-1026,Merchandise Displayers and Window Trimmers,detailed,7400
23653,27-1027,Set and Exhibit Designers,detailed,2350
23654,27-1029,"Designers, All Other",detailed,940
23655,27-2011,Actors,detailed,7440
23656,27-2012,Producers and Directors,detailed,27370
23657,27-2021,Athletes and Sports Competitors,detailed,280
23658,27-2022,Coaches and Scouts,detailed,12610
23659,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,710
23660,27-2031,Dancers,detailed,1940
23661,27-2032,Choreographers,detailed,**
23662,27-2041,Music Directors and Composers,detailed,2490
23663,27-2042,Musicians and Singers,detailed,7580
23664,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,840
23665,27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,1710
23666,27-3023,"News Analysts, Reporters, and Journalists",detailed,6020
23667,27-3031,Public Relations Specialists,detailed,25760
23668,27-3041,Editors,detailed,20440
23669,27-3042,Technical Writers,detailed,1740
23670,27-3043,Writers and Authors,detailed,7680
23671,27-3091,Interpreters and Translators,detailed,3770
23672,27-3092,Court Reporters and Simultaneous Captioners,detailed,1320
23673,27-3099,"Media and Communication Workers, All Other",detailed,**
23674,27-4011,Audio and Video Technicians,detailed,7760
23675,27-4012,Broadcast Technicians,detailed,4710
23676,27-4014,Sound Engineering Technicians,detailed,1830
23677,27-4021,Photographers,detailed,4680
23678,27-4031,"Camera Operators, Television, Video, and Film",detailed,2910
23679,27-4032,Film and Video Editors,detailed,4330
23680,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",detailed,**
23681,29-1011,Chiropractors,detailed,1550
23682,29-1021,"Dentists, General",detailed,8780
23683,29-1022,Oral and Maxillofacial Surgeons,detailed,360
23684,29-1023,Orthodontists,detailed,**
23685,29-1029,"Dentists, All Other Specialists",detailed,280
23686,29-1031,Dietitians and Nutritionists,detailed,4640
23687,29-1041,Optometrists,detailed,1910
23688,29-1051,Pharmacists,detailed,20180
23689,29-1071,Physician Assistants,detailed,13270
23690,29-1081,Podiatrists,detailed,1060
23691,29-1122,Occupational Therapists,detailed,12460
23692,29-1123,Physical Therapists,detailed,17710
23693,29-1124,Radiation Therapists,detailed,1170
23694,29-1125,Recreational Therapists,detailed,1450
23695,29-1126,Respiratory Therapists,detailed,5860
23696,29-1127,Speech-Language Pathologists,detailed,13130
23697,29-1128,Exercise Physiologists,detailed,330
23698,29-1129,"Therapists, All Other",detailed,820
23699,29-1131,Veterinarians,detailed,3890
23700,29-1141,Registered Nurses,detailed,178320
23701,29-1151,Nurse Anesthetists,detailed,1900
23702,29-1161,Nurse Midwives,detailed,480
23703,29-1171,Nurse Practitioners,detailed,14060
23704,29-1181,Audiologists,detailed,720
23705,29-1211,Anesthesiologists,detailed,1540
23706,29-1215,Family Medicine Physicians,detailed,**
23707,29-1216,General Internal Medicine Physicians,detailed,**
23708,29-1218,Obstetricians and Gynecologists,detailed,1580
23709,29-1221,"Pediatricians, General",detailed,**
23710,29-1223,Psychiatrists,detailed,3690
23711,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,38380
23712,29-1248,"Surgeons, Except Ophthalmologists",detailed,**
23713,29-1292,Dental Hygienists,detailed,11620
23714,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,2720
23715,29-2010,Clinical Laboratory Technologists and Technicians,detailed,18110
23716,29-2031,Cardiovascular Technologists and Technicians,detailed,3370
23717,29-2032,Diagnostic Medical Sonographers,detailed,5880
23718,29-2033,Nuclear Medicine Technologists,detailed,970
23719,29-2034,Radiologic Technologists and Technicians,detailed,12620
23720,29-2035,Magnetic Resonance Imaging Technologists,detailed,2410
23721,29-2040,Emergency Medical Technicians and Paramedics,detailed,18610
23722,29-2051,Dietetic Technicians,detailed,1040
23723,29-2052,Pharmacy Technicians,detailed,20360
23724,29-2053,Psychiatric Technicians,detailed,**
23725,29-2055,Surgical Technologists,detailed,5620
23726,29-2056,Veterinary Technologists and Technicians,detailed,5020
23727,29-2057,Ophthalmic Medical Technicians,detailed,4270
23728,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,46320
23729,29-2081,"Opticians, Dispensing",detailed,2840
23730,29-2091,Orthotists and Prosthetists,detailed,400
23731,29-2092,Hearing Aid Specialists,detailed,100
23732,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",detailed,14990
23733,29-9091,Athletic Trainers,detailed,1280
23734,29-9092,Genetic Counselors,detailed,190
23735,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",detailed,**
23736,31-1120,Home Health and Personal Care Aides,detailed,444880
23737,31-1131,Nursing Assistants,detailed,85090
23738,31-1132,Orderlies,detailed,3070
23739,31-1133,Psychiatric Aides,detailed,5770
23740,31-2011,Occupational Therapy Assistants,detailed,2880
23741,31-2012,Occupational Therapy Aides,detailed,260
23742,31-2021,Physical Therapist Assistants,detailed,5410
23743,31-2022,Physical Therapist Aides,detailed,3290
23744,31-9011,Massage Therapists,detailed,6580
23745,31-9091,Dental Assistants,detailed,19520
23746,31-9092,Medical Assistants,detailed,27730
23747,31-9093,Medical Equipment Preparers,detailed,3590
23748,31-9094,Medical Transcriptionists,detailed,2700
23749,31-9095,Pharmacy Aides,detailed,1670
23750,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,4890
23751,31-9097,Phlebotomists,detailed,6360
23752,31-9099,"Healthcare Support Workers, All Other",detailed,5390
23753,33-1011,First-Line Supervisors of Correctional Officers,detailed,3890
23754,33-1012,First-Line Supervisors of Police and Detectives,detailed,13230
23755,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,4300
23756,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",detailed,8720
23757,33-2011,Firefighters,detailed,14050
23758,33-3011,Bailiffs,detailed,4030
23759,33-3012,Correctional Officers and Jailers,detailed,35420
23760,33-3021,Detectives and Criminal Investigators,detailed,9010
23761,33-3031,Fish and Game Wardens,detailed,380
23762,33-3041,Parking Enforcement Workers,detailed,570
23763,33-3051,Police and Sheriff's Patrol Officers,detailed,55590
23764,33-3052,Transit and Railroad Police,detailed,1730
23765,33-9011,Animal Control Workers,detailed,780
23766,33-9021,Private Detectives and Investigators,detailed,1480
23767,33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,170
23768,33-9032,Security Guards,detailed,118210
23769,33-9091,Crossing Guards and Flaggers,detailed,10860
23770,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,7820
23771,33-9093,Transportation Security Screeners,detailed,3720
23772,33-9098,"School Bus Monitors and Protective Service Workers, All Other",detailed,19430
23773,35-1011,Chefs and Head Cooks,detailed,17950
23774,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,49170
23775,35-2011,"Cooks, Fast Food",detailed,11290
23776,35-2012,"Cooks, Institution and Cafeteria",detailed,16120
23777,35-2013,"Cooks, Private Household",detailed,**
23778,35-2014,"Cooks, Restaurant",detailed,71100
23779,35-2015,"Cooks, Short Order",detailed,9600
23780,35-2019,"Cooks, All Other",detailed,1240
23781,35-2021,Food Preparation Workers,detailed,59850
23782,35-3011,Bartenders,detailed,44970
23783,35-3023,Fast Food and Counter Workers,detailed,211970
23784,35-3031,Waiters and Waitresses,detailed,160470
23785,35-3041,"Food Servers, Nonrestaurant",detailed,15930
23786,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,40770
23787,35-9021,Dishwashers,detailed,34830
23788,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,19580
23789,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,3090
23790,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,11920
23791,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,4920
23792,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,190730
23793,37-2012,Maids and Housekeeping Cleaners,detailed,47990
23794,37-2019,"Building Cleaning Workers, All Other",detailed,**
23795,37-2021,Pest Control Workers,detailed,3230
23796,37-3011,Landscaping and Groundskeeping Workers,detailed,44730
23797,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,**
23798,37-3013,Tree Trimmers and Pruners,detailed,2660
23799,37-3019,"Grounds Maintenance Workers, All Other",detailed,3270
23800,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,1020
23801,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",detailed,19590
23802,39-2011,Animal Trainers,detailed,1300
23803,39-2021,Animal Caretakers,detailed,12450
23804,39-3011,Gambling Dealers,detailed,3710
23805,39-3012,Gambling and Sports Book Writers and Runners,detailed,520
23806,39-3019,"Gambling Service Workers, All Other",detailed,100
23807,39-3021,Motion Picture Projectionists,detailed,280
23808,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,11200
23809,39-3091,Amusement and Recreation Attendants,detailed,18390
23810,39-3092,Costume Attendants,detailed,1350
23811,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,1560
23812,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,380
23813,39-4021,Funeral Attendants,detailed,1460
23814,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,1420
23815,39-5011,Barbers,detailed,1790
23816,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,24590
23817,39-5091,"Makeup Artists, Theatrical and Performance",detailed,490
23818,39-5092,Manicurists and Pedicurists,detailed,23470
23819,39-5093,Shampooers,detailed,780
23820,39-5094,Skincare Specialists,detailed,5680
23821,39-6011,Baggage Porters and Bellhops,detailed,3660
23822,39-6012,Concierges,detailed,5520
23823,39-7010,Tour and Travel Guides,detailed,2710
23824,39-9011,Childcare Workers,detailed,53290
23825,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,24330
23826,39-9032,Recreation Workers,detailed,30000
23827,39-9041,Residential Advisors,detailed,9280
23828,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",detailed,1880
23829,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,65890
23830,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,22570
23831,41-2011,Cashiers,detailed,198340
23832,41-2012,Gambling Change Persons and Booth Cashiers,detailed,590
23833,41-2021,Counter and Rental Clerks,detailed,19130
23834,41-2022,Parts Salespersons,detailed,10780
23835,41-2031,Retail Salespersons,detailed,288630
23836,41-3011,Advertising Sales Agents,detailed,21030
23837,41-3021,Insurance Sales Agents,detailed,22400
23838,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,67120
23839,41-3041,Travel Agents,detailed,5400
23840,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,68110
23841,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,15040
23842,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,75220
23843,41-9011,Demonstrators and Product Promoters,detailed,6290
23844,41-9012,Models,detailed,170
23845,41-9021,Real Estate Brokers,detailed,2240
23846,41-9022,Real Estate Sales Agents,detailed,4700
23847,41-9031,Sales Engineers,detailed,2660
23848,41-9041,Telemarketers,detailed,4570
23849,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,670
23850,41-9099,"Sales and Related Workers, All Other",detailed,2400
23851,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,110080
23852,43-2011,"Switchboard Operators, Including Answering Service",detailed,3100
23853,43-2021,Telephone Operators,detailed,620
23854,43-2099,"Communications Equipment Operators, All Other",detailed,80
23855,43-3011,Bill and Account Collectors,detailed,14570
23856,43-3021,Billing and Posting Clerks,detailed,33630
23857,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,101030
